subject,relation,object
Jan Hoet,es de nacionalidad,Belgium
3893222405,es un codigo ISBN para el libro,Auf dem Weg zur Documenta IX
3893222405,es un codigo ISBN de una edicion publicada por,Distributed Art Publishers
9783893222407,es un codigo ISBN para el libro,Auf dem Weg zur Documenta IX
9783893222407,es un codigo ISBN de una edicion publicada por,Distributed Art Publishers
3893222405,es un codigo ISBN de una edicion publicada por,Edition Cantz
3893222405,está escrito en,Alemán
Jan Hoet,es autor de la obra,Auf dem Weg zur Documenta IX
9791092599039,es un codigo ISBN para el libro,Karel Dierickx
9791092599039,es un codigo ISBN de una edicion publicada por,Roberto Polo Gallery
9791092599039,está escrito en,Inglés
Jan Hoet,es autor de la obra,Karel Dierickx
Karel Dierickx,pertenece al género,Exhibitions
Karel Dierickx,pertenece al género,Painting
Karel Dierickx,pertenece al género,Belgian Painting
9089314830,es un codigo ISBN para el libro,Das Meer
9089314830,es un codigo ISBN de una edicion publicada por,Borgerhoff & Lamberigts
9089314830,está escrito en,Neerlandés
9789089314833,es un codigo ISBN para el libro,Das Meer
9789089314833,es un codigo ISBN de una edicion publicada por,Borgerhoff & Lamberigts
9789089314833,está escrito en,Neerlandés
Jan Hoet,es autor de la obra,Das Meer
Das Meer,pertenece al género,Sea in art
Das Meer,pertenece al género,Exhibitions
9789089314840,es un codigo ISBN para el libro,De zee. Jan Hoet. Wandelgids Oostende
9789089314840,es un codigo ISBN de una edicion publicada por,Borgerhoff & Lamberigts nv
9789089314840,está escrito en,Neerlandés
9089314849,es un codigo ISBN para el libro,De zee. Jan Hoet. Wandelgids Oostende
9089314849,es un codigo ISBN de una edicion publicada por,Borgerhoff & Lamberigts nv
9089314849,está escrito en,Neerlandés
Jan Hoet,es autor de la obra,De zee. Jan Hoet. Wandelgids Oostende
9789075679076,es un codigo ISBN para el libro,Bernard Frize
9789075679076,es un codigo ISBN de una edicion publicada por,Vereniging voor het Museum van Hedendaagse Kunst
9075679076,es un codigo ISBN para el libro,Bernard Frize
9075679076,es un codigo ISBN de una edicion publicada por,Vereniging voor het Museum van Hedendaagse Kunst
Jan Hoet,es autor de la obra,Bernard Frize
9075679084,es un codigo ISBN para el libro,Gelijk het leven is
9075679084,es un codigo ISBN de una edicion publicada por,Stedelijk Museum voor Actuele Kunst
9075679084,está escrito en,Neerlandés
Jan Hoet,es autor de la obra,Gelijk het leven is
Gelijk het leven is,pertenece al género,Art
Gelijk het leven is,pertenece al género,Belgian Art
Gelijk het leven is,pertenece al género,Exhibitions
905544278X,es un codigo ISBN para el libro,Thierry De Cordier
905544278X,es un codigo ISBN de una edicion publicada por,Ludion
905544278X,es un codigo ISBN de una edicion publicada por,S.M.A.K.
905544278X,está escrito en,Inglés
9789055442782,es un codigo ISBN para el libro,Thierry De Cordier
9789055442782,es un codigo ISBN de una edicion publicada por,Ludion
9789055442782,es un codigo ISBN de una edicion publicada por,S.M.A.K.
9789055442782,está escrito en,Inglés
Jan Hoet,es autor de la obra,Thierry De Cordier
Thierry De Cordier,pertenece al género,Catalogs
