subject,relation,object
Giorgio Bassani,es de nacionalidad,Italy
8432202630,es un codigo ISBN para el libro,El olor del heno
8432202630,es un codigo ISBN de una edicion publicada por,Editorial Seix Barral
8432202630,está escrito en,Español
Giorgio Bassani,es autor de la obra,El olor del heno
9788807492686,es un codigo ISBN para el libro,Interviste
9788807492686,es un codigo ISBN de una edicion publicada por,Feltrinelli
9788807492686,está escrito en,Italiano
Giorgio Bassani,es autor de la obra,Interviste
Interviste,pertenece al género,Interviews
Interviste,pertenece al género,Italian Authors
8804455594,es un codigo ISBN para el libro,Dentro le mura
8804455594,es un codigo ISBN de una edicion publicada por,A. Mondadori
8804455594,está escrito en,Italiano
Giorgio Bassani,es autor de la obra,Dentro le mura
2070373940,es un codigo ISBN para el libro,Lunettes D or (Folio) (French Edition)
2070373940,es un codigo ISBN de una edicion publicada por,Gallimard
2070373940,está escrito en,Francés
9782070373949,es un codigo ISBN para el libro,Lunettes D or (Folio) (French Edition)
9782070373949,es un codigo ISBN de una edicion publicada por,Gallimard
9782070373949,está escrito en,Francés
Giorgio Bassani,es autor de la obra,Lunettes D or (Folio) (French Edition)
9788807530395,es un codigo ISBN para el libro,Poesie complete
9788807530395,es un codigo ISBN de una edicion publicada por,Giangiacomo Feltrinelli editore
9788807530395,está escrito en,Italiano
Giorgio Bassani,es autor de la obra,Poesie complete
9788833671253,es un codigo ISBN para el libro,Una città di pianura e altri racconti giovanili
9788833671253,es un codigo ISBN de una edicion publicada por,Officina libraria
9788833671253,está escrito en,Italiano
Giorgio Bassani,es autor de la obra,Una città di pianura e altri racconti giovanili
9786556922959,es un codigo ISBN para el libro,Os óculos de ouro
9786556922959,es un codigo ISBN de una edicion publicada por,Todavia
9786556922959,está escrito en,Portugués
6556922951,es un codigo ISBN para el libro,Os óculos de ouro
6556922951,es un codigo ISBN de una edicion publicada por,Todavia
6556922951,está escrito en,Portugués
Giorgio Bassani,es autor de la obra,Os óculos de ouro
9750843738,es un codigo ISBN para el libro,Surların İçinde-Beş Ferrara Öyküsü
9750843738,es un codigo ISBN de una edicion publicada por,Yapi Kredi Yayinlari
9789750843730,es un codigo ISBN para el libro,Surların İçinde-Beş Ferrara Öyküsü
9789750843730,es un codigo ISBN de una edicion publicada por,Yapi Kredi Yayinlari
Giorgio Bassani,es autor de la obra,Surların İçinde-Beş Ferrara Öyküsü
9750837290,es un codigo ISBN para el libro,Kapinin Ardinda
9750837290,es un codigo ISBN de una edicion publicada por,Yapi Kredi Yayinlari
