subject,relation,object
Silvia Arroyo Camejo,es de nacionalidad,Spain
9788847012417,es un codigo ISBN para el libro,Il bizzarro mondo dei quanti
9788847012417,es un codigo ISBN de una edicion publicada por,Springer
8847012414,es un codigo ISBN para el libro,Il bizzarro mondo dei quanti
8847012414,es un codigo ISBN de una edicion publicada por,Springer
9788847006447,es un codigo ISBN para el libro,Il bizzarro mondo dei quanti
9788847006447,es un codigo ISBN de una edicion publicada por,"Springer-Verlag Italia, Milano"
9788847006447,está escrito en,Italiano
9788847006430,es un codigo ISBN para el libro,Il bizzarro mondo dei quanti
9788847006430,es un codigo ISBN de una edicion publicada por,"Springer-Verlag Italia, Milano"
9788847006430,está escrito en,Italiano
Silvia Arroyo Camejo,es autor de la obra,Il bizzarro mondo dei quanti
Il bizzarro mondo dei quanti,pertenece al género,Quantum theory
Il bizzarro mondo dei quanti,pertenece al género,Mathematics
Il bizzarro mondo dei quanti,pertenece al género,Engineering
9783540297215,es un codigo ISBN para el libro,Skurrile Quantenwelt
9783540297215,es un codigo ISBN de una edicion publicada por,"Springer London, Limited"
9783540297215,está escrito en,Alemán
3540297200,es un codigo ISBN para el libro,Skurrile Quantenwelt
3540297200,es un codigo ISBN de una edicion publicada por,Springer
3540297200,está escrito en,Alemán
9783540297208,es un codigo ISBN para el libro,Skurrile Quantenwelt
9783540297208,es un codigo ISBN de una edicion publicada por,Springer
9783540297208,está escrito en,Alemán
Silvia Arroyo Camejo,es autor de la obra,Skurrile Quantenwelt
Skurrile Quantenwelt,pertenece al género,Quantum theory
Skurrile Quantenwelt,pertenece al género,SCIENCE
Skurrile Quantenwelt,pertenece al género,Quantum Theory
9783596174898,es un codigo ISBN para el libro,Skurrile Quantenwelt
9783596174898,es un codigo ISBN de una edicion publicada por,Fischer-Taschenbuch-Verl.
9783596174898,está escrito en,Alemán
3596174899,es un codigo ISBN para el libro,Skurrile Quantenwelt
3596174899,es un codigo ISBN de una edicion publicada por,Fischer-Taschenbuch-Verl.
3596174899,está escrito en,Alemán
Helmut Hatzfeld,es de nacionalidad,Spain
9780384217751,es un codigo ISBN para el libro,"A Critical Bibliography of the New Stylistics Applied to the Romance Literatures, 1953-1965"
9780384217751,es un codigo ISBN de una edicion publicada por,Johnson Reprint Corp
0384217753,es un codigo ISBN para el libro,"A Critical Bibliography of the New Stylistics Applied to the Romance Literatures, 1953-1965"
0384217753,es un codigo ISBN de una edicion publicada por,Johnson Reprint Corp
Helmut Hatzfeld,es autor de la obra,"A Critical Bibliography of the New Stylistics Applied to the Romance Literatures, 1953-1965"
9781022886728,es un codigo ISBN para el libro,Literature Through Art
9781022886728,es un codigo ISBN de una edicion publicada por,"Creative Media Partners, LLC"
9781022886728,está escrito en,Inglés
Helmut Hatzfeld,es autor de la obra,Literature Through Art
9780807890868,es un codigo ISBN para el libro,Literature Through Art
9780807890868,es un codigo ISBN de una edicion publicada por,University of North Carolina Press
9780807890868,está escrito en,Inglés
Literature Through Art,pertenece al género,Art and literature
Literature Through Art,pertenece al género,Art criticism
Literature Through Art,pertenece al género,"French literature, history and criticism"
9781258277628,es un codigo ISBN para el libro,Trends and Styles in Twentieth Century French Literature
9781258277628,es un codigo ISBN de una edicion publicada por,"Literary Licensing, LLC"
125827762X,es un codigo ISBN para el libro,Trends and Styles in Twentieth Century French Literature
125827762X,es un codigo ISBN de una edicion publicada por,"Literary Licensing, LLC"
Helmut Hatzfeld,es autor de la obra,Trends and Styles in Twentieth Century French Literature
8400038002,es un codigo ISBN para el libro,"El ""Quijote"" como obra de arte del lenguaje"
8400038002,es un codigo ISBN de una edicion publicada por,Graficas Reunidas
8400038002,está escrito en,Español
Helmut Hatzfeld,es autor de la obra,"El ""Quijote"" como obra de arte del lenguaje"
3534061772,es un codigo ISBN para el libro,Romanistische Stilforschung
3534061772,es un codigo ISBN de una edicion publicada por,Wissenschaftliche Buchgesellschaft [Abt. Verl.]
3534061772,está escrito en,Alemán
Helmut Hatzfeld,es autor de la obra,Romanistische Stilforschung
Romanistische Stilforschung,pertenece al género,Romance-language literature
Romanistische Stilforschung,pertenece al género,Literary Style
Romanistische Stilforschung,pertenece al género,History and criticism
3190030669,es un codigo ISBN para el libro,Initiation à l'explication de textes français
3190030669,es un codigo ISBN de una edicion publicada por,M. Hueber
3190030669,está escrito en,Francés
Helmut Hatzfeld,es autor de la obra,Initiation à l'explication de textes français
Initiation à l'explication de textes français,pertenece al género,Explication
Initiation à l'explication de textes français,pertenece al género,French literature
Initiation à l'explication de textes français,pertenece al género,History and criticism
8424901355,es un codigo ISBN para el libro,Estudios literarios sobre mística española
8424901355,es un codigo ISBN de una edicion publicada por,Gredos
8424901355,está escrito en,Español
8424901363,es un codigo ISBN para el libro,Estudios literarios sobre mística española
8424901363,es un codigo ISBN de una edicion publicada por,Gredos
8424901363,está escrito en,Español
Helmut Hatzfeld,es autor de la obra,Estudios literarios sobre mística española
Estudios literarios sobre mística española,pertenece al género,Mysticism in literature
Estudios literarios sobre mística española,pertenece al género,Spanish literature
Estudios literarios sobre mística española,pertenece al género,History and criticism
8432076309,es un codigo ISBN para el libro,Estudios de estilística
