region,language,relation,variant,mean_layer_max,mean_layer_max,mean_layer_max,max_layer_max,max_layer_max,max_layer_max,mean_layer_mean,mean_layer_mean,mean_layer_mean,max_layer_mean,max_layer_mean,max_layer_mean
,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Europe,en,es autor de la obra,en_author_of,0.22663478925824165,0.03716638166408513,4,0.26770464330911636,0.0630435069059105,4,0.21069948375225062,0.03316270920815319,4,0.21920752525329587,0.040012804302749456,4
Europe,en,es autor de la obra,en_written_by,0.0999329015612602,0.03227766071509697,4,0.1428424026817083,0.07241714353394002,4,0.0809712260961532,0.030900253333240785,4,0.09128065034747117,0.035447150445079886,4
Europe,en,es de nacionalidad,en_base,0.16456303745508188,0.021604057194453782,4,0.202421486377716,0.03893667207211375,4,0.14668851718306541,0.01852429386083511,4,0.15334104374051089,0.01988568946296663,4
Europe,en,es de nacionalidad,en_question,0.28381161019206047,0.04924258782850607,4,0.3086580634117126,0.050775404350496676,4,0.2553115040063858,0.044607437012998574,4,0.26321593672037125,0.04581655743920544,4
Europe,en,es del año,en_from_year,0.0942489551380276,0.02695265706604374,4,0.10714803449809551,0.024288244456623958,4,0.08693061769008635,0.027205282423048684,4,0.09103300049901003,0.02650844944558795,4
Europe,en,es del año,en_published_in,0.2185864485800266,0.03084739710660248,4,0.24496914818882937,0.04499447867493197,4,0.20094609633088106,0.02559041527493227,4,0.2065729349851608,0.026156201978644083,4
Latin America,en,es autor de la obra,en_author_of,0.26831622421741486,0.04579990433041745,4,0.3013376519083977,0.05143876222833171,4,0.25057010352611536,0.04708484827879503,4,0.25668652728199953,0.047706139370341454,4
Latin America,en,es autor de la obra,en_written_by,0.11558184400200842,0.037739038375646024,4,0.15849838592112062,0.056264048591198434,4,0.09172842651605599,0.026630534244495543,4,0.10358509421348569,0.030305060182562318,4
Latin America,en,es de nacionalidad,en_base,0.1648939587175846,0.027232287683188913,4,0.19423200935125348,0.030722540766232764,4,0.14916019886732096,0.024684544563156552,4,0.15542632341384882,0.026126201171260726,4
Latin America,en,es de nacionalidad,en_question,0.2829272300004959,0.0767104665081879,4,0.31205525621771807,0.08305276724460149,4,0.25384521484375,0.06707535367656875,4,0.26917214691638947,0.0760596485825135,4
Latin America,en,fue publicada en el año,en_generic,0.17784321308135984,0.03373494137814312,4,0.23590464890003202,0.03953627871535358,4,0.15119246952235696,0.025797819283714284,4,0.16326871514320368,0.02591952257083807,4
