fact_id,region,relation,subject,object,expected_answer,tracer_subject,language,variant,kind,answer,is_correct,cm_layer_max,n_layers,n_tokens,mean_layer_max,max_layer_max,mean_layer_mean,max_layer_mean
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_author_of,mlp, a,True,6.119935037572983,13,36,0.1886974722146988,0.20510223507881165,0.17565658688545227,0.17874886095523834
eu_31318,Europe,es autor de la obra,Gilles de Paris,Cent poèmes contre le racisme,Cent poèmes contre le racisme,Cent poèmes contre le racisme,en,en_written_by,mlp, a,True,5.737786284377968,12,36,0.1449958235025406,0.2503601908683777,0.12260442972183228,0.14154821634292603
eu_16563,Europe,es autor de la obra,Guy Verhofstadt,De ziekte van Europa,De ziekte van Europa,De ziekte van Europa,en,en_author_of,mlp, a,True,5.184998738856383,11,36,0.2569354772567749,0.34243839979171753,0.23826222121715546,0.2566227316856384
eu_16563,Europe,es autor de la obra,Guy Verhofstadt,De ziekte van Europa,De ziekte van Europa,De ziekte van Europa,en,en_written_by,mlp, the,False,4.574177135487401,10,36,0.07860832661390305,0.10150116682052612,0.06267482042312622,0.07211548089981079
eu_12344,Europe,es autor de la obra,Greg,A Couple from Manchester ...,A Couple from Manchester ...,A Couple from Manchester ...,en,en_author_of,mlp, a,True,4.635276804202048,10,36,0.20080947875976562,0.2273922860622406,0.18910568952560425,0.19105063378810883
eu_12344,Europe,es autor de la obra,Greg,A Couple from Manchester ...,A Couple from Manchester ...,A Couple from Manchester ...,en,en_written_by,mlp, a,True,4.030570005716606,9,36,0.0746774822473526,0.09805183112621307,0.05311499536037445,0.061734989285469055
eu_107967,Europe,es autor de la obra,Sophie Kinsella,Shopaholic! In Alle Staten,Shopaholic! In Alle Staten,Shopaholic! In Alle Staten,en,en_author_of,mlp, a,True,5.721671047697531,12,36,0.2600967288017273,0.2958856523036957,0.2397734373807907,0.250407874584198
eu_107967,Europe,es autor de la obra,Sophie Kinsella,Shopaholic! In Alle Staten,Shopaholic! In Alle Staten,Shopaholic! In Alle Staten,en,en_written_by,mlp, a,True,4.9642548710030105,11,36,0.10144997388124466,0.12145642191171646,0.08549065887928009,0.08972391486167908
eu_113577,Europe,es de nacionalidad,Alfred Kerr,United Kingdom,United Kingdom,Alfred Kerr,en,en_base,mlp, unknown,False,2.6561437620020816,6,36,0.18744271993637085,0.23629915714263916,0.168116495013237,0.175026074051857
eu_113577,Europe,es de nacionalidad,Alfred Kerr,United Kingdom,United Kingdom,Alfred Kerr,en,en_question,mlp, the,False,2.4944781062919965,6,36,0.22203122079372406,0.24107995629310608,0.2015223503112793,0.2060384750366211
eu_71926,Europe,es de nacionalidad,Raul Proença,Portugal,Portugal,Raul Proença,en,en_base,mlp, not,False,4.202187770258986,9,36,0.1698054075241089,0.19849297404289246,0.15395724773406982,0.15911608934402466
eu_71926,Europe,es de nacionalidad,Raul Proença,Portugal,Portugal,Raul Proença,en,en_question,mlp, the,False,2.9335297258832043,7,36,0.28765779733657837,0.3219018876552582,0.2514784336090088,0.2625073492527008
eu_39653,Europe,es de nacionalidad,Mathilde Raven,Germany,Germany,Mathilde Raven,en,en_base,mlp, unknown,False,3.32745848355028,7,36,0.16556552052497864,0.22576522827148438,0.1396101415157318,0.15197430551052094
eu_39653,Europe,es de nacionalidad,Mathilde Raven,Germany,Germany,Mathilde Raven,en,en_question,mlp, the,False,2.0265823908779126,5,36,0.3424831032752991,0.3633580803871155,0.3105928301811218,0.3181619346141815
eu_89024,Europe,es de nacionalidad,Hjalmar Söderberg,Sweden,Sweden,Hjalmar Söderberg,en,en_base,mlp, not,False,5.61077853413963,12,36,0.13543850183486938,0.14912858605384827,0.12507018446922302,0.12724770605564117
eu_89024,Europe,es de nacionalidad,Hjalmar Söderberg,Sweden,Sweden,Hjalmar Söderberg,en,en_question,mlp, the,False,4.496472426043736,10,36,0.2830743193626404,0.30829232931137085,0.2576524019241333,0.26615598797798157
eu_127177,Europe,es del año,Extras,2006,2006,Extras,en,en_from_year,mlp, 2000,False,3.0447720667192555,7,36,0.10660549253225327,0.1138351559638977,0.102175273001194,0.10483017563819885
eu_127177,Europe,es del año,Extras,2006,2006,Extras,en,en_published_in,mlp, the,False,2.5489379351999264,6,36,0.19786328077316284,0.20705747604370117,0.18783973157405853,0.18981119990348816
eu_92810,Europe,es del año,Der fünfte Winter des Magnetiseurs,2004,2004,Der fünfte Winter des Magnetiseurs,en,en_from_year,mlp, 18,False,8.035546385474504,17,36,0.09551672637462616,0.11502357572317123,0.0851343646645546,0.09104714542627335
eu_92810,Europe,es del año,Der fünfte Winter des Magnetiseurs,2004,2004,Der fünfte Winter des Magnetiseurs,en,en_published_in,mlp, the,False,7.563407945414733,16,36,0.22459763288497925,0.24849753081798553,0.20685601234436035,0.21346014738082886
eu_10688,Europe,es del año,Das geheime Brot,1984,1984,Das geheime Brot,en,en_from_year,mlp, 16,False,5.637817172695432,12,36,0.05635436996817589,0.0719652771949768,0.049430400133132935,0.053941622376441956
eu_10688,Europe,es del año,Das geheime Brot,1984,1984,Das geheime Brot,en,en_published_in,mlp, the,False,5.066864542644418,11,36,0.19217203557491302,0.21725723147392273,0.17511636018753052,0.1825680285692215
eu_100996,Europe,es del año,Passagen,1991,1991,Passagen,en,en_from_year,mlp, 2000,False,3.563533985353467,8,36,0.11851923167705536,0.1277681291103363,0.11098243296146393,0.11431305855512619
eu_100996,Europe,es del año,Passagen,1991,1991,Passagen,en,en_published_in,mlp, the,False,3.025009827607857,7,36,0.2597128450870514,0.30706435441970825,0.23397228121757507,0.2404523640871048
eu_14160,Latin America,es autor de la obra,María de la Luz Uribe,Dona Pinones (Coleccion Rimas Y Adivinanzas),Dona Pinones (Coleccion Rimas Y Adivinanzas),Dona Pinones (Coleccion Rimas Y Adivinanzas),en,en_author_of,mlp, a,True,10.138143110387002,21,36,0.3357800841331482,0.37809455394744873,0.3191815912723541,0.3265700042247772
eu_14160,Latin America,es autor de la obra,María de la Luz Uribe,Dona Pinones (Coleccion Rimas Y Adivinanzas),Dona Pinones (Coleccion Rimas Y Adivinanzas),Dona Pinones (Coleccion Rimas Y Adivinanzas),en,en_written_by,mlp, the,False,9.538906257631721,20,36,0.07077920436859131,0.10037058591842651,0.06271662563085556,0.06930438429117203
eu_9114,Latin America,es autor de la obra,Óscar Ugarteche,Historia Critica del FMI,Historia Critica del FMI,Historia Critica del FMI,en,en_author_of,mlp, a,True,5.1862024894241285,11,36,0.23458188772201538,0.27218374609947205,0.21258364617824554,0.2202668935060501
eu_9114,Latin America,es autor de la obra,Óscar Ugarteche,Historia Critica del FMI,Historia Critica del FMI,Historia Critica del FMI,en,en_written_by,mlp, the,False,4.579371018852293,10,36,0.1594301462173462,0.20794419944286346,0.12682150304317474,0.1425042748451233
eu_48,Latin America,es autor de la obra,Luis Barrera Linares,Memoria y cuento,Memoria y cuento,Memoria y cuento,en,en_author_of,mlp, a,True,4.119491052584397,9,36,0.25561532378196716,0.2831594944000244,0.23922592401504517,0.24532222747802734
eu_48,Latin America,es autor de la obra,Luis Barrera Linares,Memoria y cuento,Memoria y cuento,Memoria y cuento,en,en_written_by,mlp, the,False,3.5716784073751757,8,36,0.10297659039497375,0.12020423263311386,0.09292196482419968,0.0960427075624466
eu_7898,Latin America,es autor de la obra,Ramón Rocha Monroy,La Sombra del tambor,La Sombra del tambor,La Sombra del tambor,en,en_author_of,mlp, a,True,5.13501134019733,11,36,0.2472876012325287,0.2719128131866455,0.23128925263881683,0.23458698391914368
eu_7898,Latin America,es autor de la obra,Ramón Rocha Monroy,La Sombra del tambor,La Sombra del tambor,La Sombra del tambor,en,en_written_by,mlp, the,False,4.609428200326239,10,36,0.1291414350271225,0.20547452569007874,0.08445361256599426,0.10648901015520096
eu_14560,Latin America,es de nacionalidad,Julio Retamal Favereau,chilena,chilena,Julio Retamal Favereau,en,en_base,mlp, not,False,5.1438966688269465,11,36,0.1400962471961975,0.16629904508590698,0.13072265684604645,0.13396990299224854
eu_14560,Latin America,es de nacionalidad,Julio Retamal Favereau,chilena,chilena,Julio Retamal Favereau,en,en_question,mlp, the,False,4.483670752885538,10,36,0.2748532295227051,0.28637203574180603,0.2511303424835205,0.2598714828491211
eu_213,Latin America,es de nacionalidad,Aníbal Dominici,venezolana,venezolana,Aníbal Dominici,en,en_base,mlp, unknown,False,4.221306889647239,9,36,0.17459970712661743,0.20079636573791504,0.15397459268569946,0.16091284155845642
eu_213,Latin America,es de nacionalidad,Aníbal Dominici,venezolana,venezolana,Aníbal Dominici,en,en_question,mlp, the,False,2.9380436903519014,7,36,0.38436979055404663,0.42569270730018616,0.34161314368247986,0.3722180724143982
eu_11032,Latin America,es de nacionalidad,José Gobello,argentina,argentina,José Gobello,en,en_base,mlp, unknown,False,3.1879679804478704,7,36,0.1459656059741974,0.17508366703987122,0.12977956235408783,0.13667425513267517
eu_11032,Latin America,es de nacionalidad,José Gobello,argentina,argentina,José Gobello,en,en_question,mlp, the,False,2.950548257297662,7,36,0.2745760977268219,0.3084031641483307,0.2442558854818344,0.25588640570640564
eu_11308,Latin America,es de nacionalidad,James Neilson,argentina,argentina,James Neilson,en,en_base,mlp, unknown,False,3.179808013443494,7,36,0.1989142745733261,0.2347489595413208,0.18216398358345032,0.19014829397201538
eu_11308,Latin America,es de nacionalidad,James Neilson,argentina,argentina,James Neilson,en,en_question,mlp, the,False,2.0939550841148864,5,36,0.19790980219841003,0.22775311768054962,0.17838148772716522,0.18871262669563293
eu_20803,Latin America,fue publicada en el año,El Corazón a contraluz,1996,1996,El Corazón a contraluz,en,en_generic,mlp, de,False,8.803259093952317,19,36,0.20689943432807922,0.2705005705356598,0.17915265262126923,0.19089221954345703
eu_17680,Latin America,fue publicada en el año,Fábulas y verdades,1995,1995,Fábulas y verdades,en,en_generic,mlp, de,False,7.489922874860591,17,36,0.19754134118556976,0.26487842202186584,0.1595333367586136,0.16961811482906342
eu_18361,Latin America,fue publicada en el año,La cacería del caballero,2006,2006,La cacería del caballero,en,en_generic,mlp, de,False,7.64038059488957,17,36,0.1757524162530899,0.22190240025520325,0.148636132478714,0.16410097479820251
eu_17503,Latin America,fue publicada en el año,El día que en el fútbol murió,2012,2012,El día que en el fútbol murió,en,en_generic,mlp, de,False,10.29180540051759,22,36,0.13117966055870056,0.1863372027873993,0.11744775623083115,0.12846355140209198
