subject,relation,object
Max Graf,es de nacionalidad,Austria
9788435015455,es un codigo ISBN para el libro,Antología de la literatura fantástica
9788435015455,es un codigo ISBN de una edicion publicada por,Aims Intl Books Corp
9788435015455,está escrito en,Inglés
8435015459,es un codigo ISBN para el libro,Antología de la literatura fantástica
8435015459,es un codigo ISBN de una edicion publicada por,Aims Intl Books Corp
8435015459,está escrito en,Inglés
583010041X,es un codigo ISBN para el libro,Antología de la literatura fantástica
583010041X,es un codigo ISBN de una edicion publicada por,"""Amfora"""
583010041X,está escrito en,rus
9785830100410,es un codigo ISBN para el libro,Antología de la literatura fantástica
9785830100410,es un codigo ISBN de una edicion publicada por,"""Amfora"""
9785830100410,está escrito en,rus
9500705877,es un codigo ISBN para el libro,Antología de la literatura fantástica
9500705877,es un codigo ISBN de una edicion publicada por,Sudamericana
9500705877,está escrito en,Español
9789500705875,es un codigo ISBN para el libro,Antología de la literatura fantástica
9789500705875,es un codigo ISBN de una edicion publicada por,Sudamericana
9789500705875,está escrito en,Español
8435001652,es un codigo ISBN para el libro,Antología de la literatura fantástica
8435001652,es un codigo ISBN de una edicion publicada por,EDHASA
8435001652,está escrito en,Español
8435004147,es un codigo ISBN para el libro,Antología de la literatura fantástica
8435004147,es un codigo ISBN de una edicion publicada por,EDHASA
8435004147,está escrito en,Español
9780552994019,es un codigo ISBN para el libro,Antología de la literatura fantástica
9780552994019,es un codigo ISBN de una edicion publicada por,Black Swan
9780552994019,está escrito en,Inglés
0552994014,es un codigo ISBN para el libro,Antología de la literatura fantástica
0552994014,es un codigo ISBN de una edicion publicada por,Black Swan
0552994014,está escrito en,Inglés
0670823937,es un codigo ISBN para el libro,Antología de la literatura fantástica
0670823937,es un codigo ISBN de una edicion publicada por,Viking
0670823937,está escrito en,Inglés
9780670823932,es un codigo ISBN para el libro,Antología de la literatura fantástica
9780670823932,es un codigo ISBN de una edicion publicada por,Viking
9780670823932,está escrito en,Inglés
0947761446,es un codigo ISBN para el libro,Antología de la literatura fantástica
0947761446,es un codigo ISBN de una edicion publicada por,Xanadu
0947761446,está escrito en,Inglés
0947761446,está escrito en,Español
9780947761448,es un codigo ISBN para el libro,Antología de la literatura fantástica
9780947761448,es un codigo ISBN de una edicion publicada por,Xanadu
9780947761448,está escrito en,Inglés
9780947761448,está escrito en,Español
0881846562,es un codigo ISBN para el libro,Antología de la literatura fantástica
0881846562,es un codigo ISBN de una edicion publicada por,Carroll & Graf
0881846562,está escrito en,Inglés
9780881846560,es un codigo ISBN para el libro,Antología de la literatura fantástica
9780881846560,es un codigo ISBN de una edicion publicada por,Carroll & Graf
9780881846560,está escrito en,Inglés
Max Graf,es autor de la obra,Antología de la literatura fantástica
Antología de la literatura fantástica,pertenece al género,Fantasy literature
Antología de la literatura fantástica,pertenece al género,Fantastic literature
Antología de la literatura fantástica,pertenece al género,Anachronisms
9780804601764,es un codigo ISBN para el libro,Composer and critic
9780804601764,es un codigo ISBN de una edicion publicada por,Imprint unknown
0804601763,es un codigo ISBN para el libro,Composer and critic
0804601763,es un codigo ISBN de una edicion publicada por,Imprint unknown
039300497X,es un codigo ISBN para el libro,Composer and critic
039300497X,es un codigo ISBN de una edicion publicada por,W.W. Norton
039300497X,está escrito en,Inglés
0313231109,es un codigo ISBN para el libro,Composer and critic
0313231109,es un codigo ISBN de una edicion publicada por,Greenwood Press
0313231109,está escrito en,Inglés
Max Graf,es autor de la obra,Composer and critic
Composer and critic,pertenece al género,Musical criticism
Composer and critic,pertenece al género,Critique musicale
Composer and critic,pertenece al género,History
Composer and critic,pertenece al género,Crítica musical
9781404796539,es un codigo ISBN para el libro,From Beethoven to Shostakovich
9781404796539,es un codigo ISBN de una edicion publicada por,Classic Textbooks
1404796533,es un codigo ISBN para el libro,From Beethoven to Shostakovich
1404796533,es un codigo ISBN de una edicion publicada por,Classic Textbooks
9781021217806,es un codigo ISBN para el libro,From Beethoven to Shostakovich
9781021217806,es un codigo ISBN de una edicion publicada por,"Creative Media Partners, LLC"
9781021217806,está escrito en,Inglés
9781019449011,es un codigo ISBN para el libro,From Beethoven to Shostakovich
9781019449011,es un codigo ISBN de una edicion publicada por,"Creative Media Partners, LLC"
9781019449011,está escrito en,Inglés
9780343212285,es un codigo ISBN para el libro,From Beethoven to Shostakovich
9780343212285,es un codigo ISBN de una edicion publicada por,Franklin Classics
0343212285,es un codigo ISBN para el libro,From Beethoven to Shostakovich
0343212285,es un codigo ISBN de una edicion publicada por,Franklin Classics
0837124522,es un codigo ISBN para el libro,From Beethoven to Shostakovich
0837124522,es un codigo ISBN de una edicion publicada por,Greenwood
0837124522,está escrito en,Inglés
Max Graf,es autor de la obra,From Beethoven to Shostakovich
9781504060202,es un codigo ISBN para el libro,Legend of a Musical City
9781504060202,es un codigo ISBN de una edicion publicada por,"Open Road Integrated Media, Inc."
9781504060202,está escrito en,Inglés
9780802225641,es un codigo ISBN para el libro,Legend of a Musical City
9780802225641,es un codigo ISBN de una edicion publicada por,Philosophical Library
0802225640,es un codigo ISBN para el libro,Legend of a Musical City
0802225640,es un codigo ISBN de una edicion publicada por,Philosophical Library
Max Graf,es autor de la obra,Legend of a Musical City
0313201854,es un codigo ISBN para el libro,Modern music
0313201854,es un codigo ISBN de una edicion publicada por,Greenwood Press
0313201854,está escrito en,Inglés
