subject,relation,object
Juan Pablo II,es de nacionalidad,Poland
9788324058372,es un codigo ISBN para el libro,Dzieła literackie i teatralne
9788324058372,es un codigo ISBN de una edicion publicada por,Znak
9788324058372,está escrito en,Polaco
8324058370,es un codigo ISBN para el libro,Dzieła literackie i teatralne
8324058370,es un codigo ISBN de una edicion publicada por,Znak
8324058370,está escrito en,Polaco
Juan Pablo II,es autor de la obra,Dzieła literackie i teatralne
2253137016,es un codigo ISBN para el libro,Jean-Paul II parle de la famille
2253137016,es un codigo ISBN de una edicion publicada por,Le Livre de poche
2253137016,está escrito en,Francés
Juan Pablo II,es autor de la obra,Jean-Paul II parle de la famille
Jean-Paul II parle de la famille,pertenece al género,Doctrines
Jean-Paul II parle de la famille,pertenece al género,Families
Jean-Paul II parle de la famille,pertenece al género,Religious aspects
8321115519,es un codigo ISBN para el libro,Naucz nas być wolnymi
8321115519,es un codigo ISBN de una edicion publicada por,Instytut Wydawniczy PAX
8321115519,está escrito en,Polaco
Juan Pablo II,es autor de la obra,Naucz nas być wolnymi
Naucz nas być wolnymi,pertenece al género,Journeys
Naucz nas być wolnymi,pertenece al género,Papal visits
Naucz nas być wolnymi,pertenece al género,Polish Sermons
0268012091,es un codigo ISBN para el libro,John Paul II on science and religion : reflections on the new view from Rome
0268012091,es un codigo ISBN de una edicion publicada por,Univ of Notre Dame Pr
0268012091,está escrito en,Inglés
9780268012090,es un codigo ISBN para el libro,John Paul II on science and religion : reflections on the new view from Rome
9780268012090,es un codigo ISBN de una edicion publicada por,Univ of Notre Dame Pr
9780268012090,está escrito en,Inglés
0268012091,es un codigo ISBN de una edicion publicada por,Distributed by the University of Notre Dame Press
0268012091,es un codigo ISBN de una edicion publicada por,Vatican Observatory Publications
Juan Pablo II,es autor de la obra,John Paul II on science and religion : reflections on the new view from Rome
John Paul II on science and religion : reflections on the new view from Rome,pertenece al género,Religion
John Paul II on science and religion : reflections on the new view from Rome,pertenece al género,Wissenschaft
John Paul II on science and religion : reflections on the new view from Rome,pertenece al género,"John Paul -- II, -- Pope, -- 1920-2005"
9782259182737,es un codigo ISBN para el libro,Évangile de la vie
9782259182737,es un codigo ISBN de una edicion publicada por,Omnibus
2259182739,es un codigo ISBN para el libro,Évangile de la vie
2259182739,es un codigo ISBN de una edicion publicada por,Omnibus
Juan Pablo II,es autor de la obra,Évangile de la vie
0874866685,es un codigo ISBN para el libro,Plough Quarterly No. 4
0874866685,es un codigo ISBN de una edicion publicada por,Plough Publishing House
9780874866681,es un codigo ISBN para el libro,Plough Quarterly No. 4
9780874866681,es un codigo ISBN de una edicion publicada por,Plough Publishing House
Juan Pablo II,es autor de la obra,Plough Quarterly No. 4
9782204023641,es un codigo ISBN para el libro,L'Amour humain dans le plan divin
9782204023641,es un codigo ISBN de una edicion publicada por,Cerf
9782204023641,está escrito en,Francés
2204023647,es un codigo ISBN para el libro,L'Amour humain dans le plan divin
2204023647,es un codigo ISBN de una edicion publicada por,Cerf
2204023647,está escrito en,Francés
Juan Pablo II,es autor de la obra,L'Amour humain dans le plan divin
9780819880291,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
9780819880291,es un codigo ISBN de una edicion publicada por,Brand: Pauline Books
9780819880291,es un codigo ISBN de una edicion publicada por,St. Paul Editions
0819880299,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
0819880299,es un codigo ISBN de una edicion publicada por,Brand: Pauline Books
0819880299,es un codigo ISBN de una edicion publicada por,St. Paul Editions
9788322615065,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
9788322615065,es un codigo ISBN de una edicion publicada por,Wydawn. Uniwersytetu Śląskiego
9788322615065,está escrito en,Polaco
832261506X,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
832261506X,es un codigo ISBN de una edicion publicada por,Wydawn. Uniwersytetu Śląskiego
832261506X,está escrito en,Polaco
9780851839585,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
9780851839585,es un codigo ISBN de una edicion publicada por,Catholic Truth Society
0851839584,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
0851839584,es un codigo ISBN de una edicion publicada por,Catholic Truth Society
8428517940,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
8428517940,es un codigo ISBN de una edicion publicada por,San Pablo
8428517940,está escrito en,Español
9781574550504,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
9781574550504,es un codigo ISBN de una edicion publicada por,USCCB Publishing
1574550500,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
1574550500,es un codigo ISBN de una edicion publicada por,USCCB Publishing
9783717110002,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
9783717110002,es un codigo ISBN de una edicion publicada por,Christiana-Verlag
9783717110002,está escrito en,Alemán
3717110004,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
3717110004,es un codigo ISBN de una edicion publicada por,Christiana-Verlag
3717110004,está escrito en,Alemán
1574550500,es un codigo ISBN de una edicion publicada por,Libreria Editrice Vaticana
1574550500,está escrito en,Inglés
0889973296,es un codigo ISBN para el libro,Encyclical letter Ut unum sint
0889973296,es un codigo ISBN de una edicion publicada por,Canadian Conference of Catholic Bishops
0889973296,está escrito en,Inglés
Juan Pablo II,es autor de la obra,Encyclical letter Ut unum sint
Encyclical letter Ut unum sint,pertenece al género,Christian union
Encyclical letter Ut unum sint,pertenece al género,Catholic Church
Encyclical letter Ut unum sint,pertenece al género,Relations
8322801068,es un codigo ISBN para el libro,Evangelization in the culture and society of the United States and the bishop as teacher of the faith
8322801068,es un codigo ISBN de una edicion publicada por,Red. Wydawnictw KUL
8322801068,está escrito en,Polaco
1555862780,es un codigo ISBN para el libro,Evangelization in the culture and society of the United States and the bishop as teacher of the faith
1555862780,es un codigo ISBN de una edicion publicada por,United States Catholic Conference
1555862780,está escrito en,Inglés
Juan Pablo II,es autor de la obra,Evangelization in the culture and society of the United States and the bishop as teacher of the faith
Evangelization in the culture and society of the United States and the bishop as teacher of the faith,pertenece al género,Doctrines
Evangelization in the culture and society of the United States and the bishop as teacher of the faith,pertenece al género,Congresses
Evangelization in the culture and society of the United States and the bishop as teacher of the faith,pertenece al género,Bishops
9780281038695,es un codigo ISBN para el libro,Things of the Spirit
9780281038695,es un codigo ISBN de una edicion publicada por,SPCK Publishing
9780281038695,está escrito en,Inglés
Juan Pablo II,es autor de la obra,Things of the Spirit
Things of the Spirit,pertenece al género,"Catholic church, prayers and devotions"
Things of the Spirit,pertenece al género,Devotional literature
8886811217,es un codigo ISBN para el libro,Alle radici della fede e della Chiesa
8886811217,es un codigo ISBN de una edicion publicada por,Osservatore romano
8886811217,está escrito en,Italiano
9788886811217,es un codigo ISBN para el libro,Alle radici della fede e della Chiesa
9788886811217,es un codigo ISBN de una edicion publicada por,Osservatore romano
9788886811217,está escrito en,Italiano
Juan Pablo II,es autor de la obra,Alle radici della fede e della Chiesa
Alle radici della fede e della Chiesa,pertenece al género,Travel
9782204026055,es un codigo ISBN para el libro,L'Esprit Saint
9782204026055,está escrito en,Francés
2204026050,es un codigo ISBN para el libro,L'Esprit Saint
2204026050,está escrito en,Francés
Juan Pablo II,es autor de la obra,L'Esprit Saint
L'Esprit Saint,pertenece al género,Doctrine of God (christianism)
0843407441,es un codigo ISBN para el libro,Official Catholic Teachings : Update 1979
0843407441,es un codigo ISBN de una edicion publicada por,McGrath Pub. Co.
0843407441,está escrito en,Inglés
Juan Pablo II,es autor de la obra,Official Catholic Teachings : Update 1979
Official Catholic Teachings : Update 1979,pertenece al género,Doctrines
