subject,relation,object
José de Almada Negreiros,es de nacionalidad,Portugal
9789729258404,es un codigo ISBN para el libro,Almada Negreiros e os painéis
9789729258404,es un codigo ISBN de una edicion publicada por,"MNAA, Museu Nacional de Arte Antiga"
9789729258404,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,Almada Negreiros e os painéis
Almada Negreiros e os painéis,pertenece al género,Exhibitions
Almada Negreiros e os painéis,pertenece al género,Christian art and symbolism
Almada Negreiros e os painéis,pertenece al género,Portuguese Painting
9788475174655,es un codigo ISBN para el libro,La Escena del Odio
9788475174655,es un codigo ISBN de una edicion publicada por,Hiperion
9788475174655,está escrito en,Español
8475174655,es un codigo ISBN para el libro,La Escena del Odio
8475174655,es un codigo ISBN de una edicion publicada por,Hiperion
8475174655,está escrito en,Español
José de Almada Negreiros,es autor de la obra,La Escena del Odio
9722704451,es un codigo ISBN para el libro,Ensaios
9722704451,es un codigo ISBN de una edicion publicada por,Impr. Nacional-Casa da Moeda
9722704451,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,Ensaios
9723705877,es un codigo ISBN para el libro,"K4, o quadrado azul"
9723705877,es un codigo ISBN de una edicion publicada por,Assírio & Alvim
9723705877,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,"K4, o quadrado azul"
9726171369,es un codigo ISBN para el libro,Manifesto anti-Dantas
9726171369,es un codigo ISBN de una edicion publicada por,Ática
9726171369,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,Manifesto anti-Dantas
9798708111364,es un codigo ISBN para el libro,A invenção do dia claro
9798708111364,es un codigo ISBN de una edicion publicada por,Independently Published
9798708111364,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,A invenção do dia claro
972270575X,es un codigo ISBN para el libro,Teatro
972270575X,es un codigo ISBN de una edicion publicada por,Impr. Nacional-Casa da Moeda
972270575X,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,Teatro
9729593809,es un codigo ISBN para el libro,Almada
9729593809,es un codigo ISBN de una edicion publicada por,Centro Cultural de Belém
9729593809,está escrito en,Español
José de Almada Negreiros,es autor de la obra,Almada
Almada,pertenece al género,Exhibitions
9729313601,es un codigo ISBN para el libro,Almada e tudo
9729313601,es un codigo ISBN de una edicion publicada por,Universidade de Évora
9729313601,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,Almada e tudo
Almada e tudo,pertenece al género,Exhibitions
9725651480,es un codigo ISBN para el libro,"Almada, o escritor o ilustrador"
9725651480,es un codigo ISBN de una edicion publicada por,"Presidência do Conselho de Ministros, Secretaria de Estado da Cultura, Instituto da Biblioteca Nacional e do Livro"
9725651480,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,"Almada, o escritor o ilustrador"
"Almada, o escritor o ilustrador",pertenece al género,Bibliography
"Almada, o escritor o ilustrador",pertenece al género,Catalogs
9789723706529,es un codigo ISBN para el libro,Nome de guerra
9789723706529,es un codigo ISBN de una edicion publicada por,Assírio & Alvim
9723706520,es un codigo ISBN para el libro,Nome de guerra
9723706520,es un codigo ISBN de una edicion publicada por,Assírio & Alvim
9726171326,es un codigo ISBN para el libro,Nome de guerra
9726171326,es un codigo ISBN de una edicion publicada por,Edições Ática
9726171326,está escrito en,Portugués
José de Almada Negreiros,es autor de la obra,Nome de guerra
