subject,relation,object
Egron Lundgren,es de nacionalidad,Sweden
9788447218813,es un codigo ISBN para el libro,Anotaciones y cartas del pintor Egron Lundgren en Sevilla
9788447218813,es un codigo ISBN de una edicion publicada por,Editorial Universidad de Sevilla
9788447218813,está escrito en,Español
Egron Lundgren,es autor de la obra,Anotaciones y cartas del pintor Egron Lundgren en Sevilla
Anotaciones y cartas del pintor Egron Lundgren en Sevilla,pertenece al género,Travel
Jaan Lattik,es de nacionalidad,Sweden
9985878205,es un codigo ISBN para el libro,Kui meil veel püksa ei olnud
9985878205,es un codigo ISBN de una edicion publicada por,Ilmamaa
9985878205,está escrito en,est
Jaan Lattik,es autor de la obra,Kui meil veel püksa ei olnud
9985770579,es un codigo ISBN para el libro,Meie vanad
9985770579,es un codigo ISBN de una edicion publicada por,Ilmamaa
9985770579,está escrito en,est
Jaan Lattik,es autor de la obra,Meie vanad
Meie vanad,pertenece al género,"Authors, Estonian"
Meie vanad,pertenece al género,Diaries
Meie vanad,pertenece al género,Estonian Authors
9985821033,es un codigo ISBN para el libro,Viljandi Kirikumõis kõneleb
9985821033,es un codigo ISBN de una edicion publicada por,Ilmamaa
9985821033,está escrito en,est
Jaan Lattik,es autor de la obra,Viljandi Kirikumõis kõneleb
Viljandi Kirikumõis kõneleb,pertenece al género,Lutheran Church
Viljandi Kirikumõis kõneleb,pertenece al género,Clergy
Viljandi Kirikumõis kõneleb,pertenece al género,"Correspondence, reminiscences"
Viktor Rydberg,es de nacionalidad,Sweden
0524037825,es un codigo ISBN para el libro,Teutonic mythology
0524037825,es un codigo ISBN de una edicion publicada por,Norroena Society
0524037825,está escrito en,Inglés
Viktor Rydberg,es autor de la obra,Teutonic mythology
Teutonic mythology,pertenece al género,Norse Mythology
Teutonic mythology,pertenece al género,Germanic Mythology
Teutonic mythology,pertenece al género,Scandinavians
9789178447817,es un codigo ISBN para el libro,Den politisk-satiriske Viktor Rydberg
9789178447817,es un codigo ISBN de una edicion publicada por,Gidlunds förlag
9789178447817,está escrito en,Sueco
917844781X,es un codigo ISBN para el libro,Den politisk-satiriske Viktor Rydberg
917844781X,es un codigo ISBN de una edicion publicada por,Gidlunds förlag
917844781X,está escrito en,Sueco
Viktor Rydberg,es autor de la obra,Den politisk-satiriske Viktor Rydberg
Den politisk-satiriske Viktor Rydberg,pertenece al género,Swedish Political satire
0340270659,es un codigo ISBN para el libro,The Christmas tomten
0340270659,es un codigo ISBN de una edicion publicada por,Hodder & Stoughton General Division
9780340270653,es un codigo ISBN para el libro,The Christmas tomten
9780340270653,es un codigo ISBN de una edicion publicada por,Hodder & Stoughton General Division
0698205286,es un codigo ISBN para el libro,The Christmas tomten
0698205286,es un codigo ISBN de una edicion publicada por,"Coward, McCann & Geoghegan"
0698205286,está escrito en,Inglés
0340270659,es un codigo ISBN de una edicion publicada por,Hodder & Stoughton Children's Books
0340270659,está escrito en,Inglés
Viktor Rydberg,es autor de la obra,The Christmas tomten
The Christmas tomten,pertenece al género,Christmas
The Christmas tomten,pertenece al género,Folklore
The Christmas tomten,pertenece al género,Fiction
1425464629,es un codigo ISBN para el libro,The Cosmic Philosophy of the Middle Ages
1425464629,es un codigo ISBN de una edicion publicada por,Kessinger Publishing
1425464629,está escrito en,Inglés
9781425464622,es un codigo ISBN para el libro,The Cosmic Philosophy of the Middle Ages
9781425464622,es un codigo ISBN de una edicion publicada por,Kessinger Publishing
9781425464622,está escrito en,Inglés
Viktor Rydberg,es autor de la obra,The Cosmic Philosophy of the Middle Ages
Lars Levi Laestadius,es de nacionalidad,Sweden
917538101X,es un codigo ISBN para el libro,Loca parallela plantarum
917538101X,es un codigo ISBN de una edicion publicada por,Tornedalica
917538101X,está escrito en,Sueco
Lars Levi Laestadius,es autor de la obra,Loca parallela plantarum
9519778128,es un codigo ISBN para el libro,Uudisviljelytoiminnasta Lapissa yleisin varoin
9519778128,es un codigo ISBN de una edicion publicada por,Pohjolan Painotuote
9519778128,está escrito en,Finés
9789519778112,es un codigo ISBN para el libro,Uudisviljelytoiminnasta Lapissa yleisin varoin
9789519778112,es un codigo ISBN de una edicion publicada por,Pohjolan Painotuote
9789519778112,está escrito en,Finés
951977811X,es un codigo ISBN para el libro,Uudisviljelytoiminnasta Lapissa yleisin varoin
951977811X,es un codigo ISBN de una edicion publicada por,Pohjolan Painotuote
951977811X,está escrito en,Finés
9789519778129,es un codigo ISBN para el libro,Uudisviljelytoiminnasta Lapissa yleisin varoin
9789519778129,es un codigo ISBN de una edicion publicada por,Pohjolan Painotuote
9789519778129,está escrito en,Finés
Lars Levi Laestadius,es autor de la obra,Uudisviljelytoiminnasta Lapissa yleisin varoin
Uudisviljelytoiminnasta Lapissa yleisin varoin,pertenece al género,Agriculture
Uudisviljelytoiminnasta Lapissa yleisin varoin,pertenece al género,Sami (European people)
9525475034,es un codigo ISBN para el libro,Aikakauslehti Huutavan ääni korvessa vuosina 1852-1854
9525475034,es un codigo ISBN de una edicion publicada por,Esikoislestadiolaiset
9525475034,está escrito en,Finés
Lars Levi Laestadius,es autor de la obra,Aikakauslehti Huutavan ääni korvessa vuosina 1852-1854
Aikakauslehti Huutavan ääni korvessa vuosina 1852-1854,pertenece al género,Lestadiolaisuus
Aikakauslehti Huutavan ääni korvessa vuosina 1852-1854,pertenece al género,Laestadianism
9522222577,es un codigo ISBN para el libro,Lappalaisten mytologian katkelmia
9522222577,es un codigo ISBN de una edicion publicada por,Suomalaisen Kirjallisuuden Seura
9522222577,está escrito en,Finés
9789522222572,es un codigo ISBN para el libro,Lappalaisten mytologian katkelmia
9789522222572,es un codigo ISBN de una edicion publicada por,Suomalaisen Kirjallisuuden Seura
9789522222572,está escrito en,Finés
Lars Levi Laestadius,es autor de la obra,Lappalaisten mytologian katkelmia
Lappalaisten mytologian katkelmia,pertenece al género,Religion
Lappalaisten mytologian katkelmia,pertenece al género,Sami Mythology
Lappalaisten mytologian katkelmia,pertenece al género,Sami (European people)
0968588190,es un codigo ISBN para el libro,Fragments of Lappish mythology
0968588190,es un codigo ISBN de una edicion publicada por,Aspasia Books
0968588190,está escrito en,Inglés
Lars Levi Laestadius,es autor de la obra,Fragments of Lappish mythology
Fragments of Lappish mythology,pertenece al género,Folklore
Fragments of Lappish mythology,pertenece al género,Lapons
Fragments of Lappish mythology,pertenece al género,Mythologie finno-ougrienne
9519023313,es un codigo ISBN para el libro,Saamenkieliset saarnat ja kirjoitukset
9519023313,es un codigo ISBN de una edicion publicada por,Akateeminen kustannusliike
9519023313,está escrito en,mul
Lars Levi Laestadius,es autor de la obra,Saamenkieliset saarnat ja kirjoitukset
Saamenkieliset saarnat ja kirjoitukset,pertenece al género,Lutheran Church
Saamenkieliset saarnat ja kirjoitukset,pertenece al género,Svenska kyrkan
Saamenkieliset saarnat ja kirjoitukset,pertenece al género,Theology
9529724209,es un codigo ISBN para el libro,Fragmenter i lappska mythologien
9529724209,es un codigo ISBN de una edicion publicada por,"Nordic Institute of Folklore, NIF"
9529724209,está escrito en,Sueco
9529724209,está escrito en,smi
9517462042,es un codigo ISBN para el libro,Fragmenter i lappska mythologien
9517462042,es un codigo ISBN de una edicion publicada por,Suomalaisen Kirjallisuuden Seura
9517462042,está escrito en,Finés
Lars Levi Laestadius,es autor de la obra,Fragmenter i lappska mythologien
Fragmenter i lappska mythologien,pertenece al género,Folklore
Fragmenter i lappska mythologien,pertenece al género,"Mythology, Finno-Ugrian"
Fragmenter i lappska mythologien,pertenece al género,"Mythology, Sami"
