subject,relation,object
Giovanni Orelli,es de nacionalidad,Switzerland
8806122444,es un codigo ISBN para el libro,Il sogno di Walacek
8806122444,es un codigo ISBN de una edicion publicada por,Einaudi
8806122444,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Il sogno di Walacek
8877131527,es un codigo ISBN para el libro,L' anno della valanga
8877131527,es un codigo ISBN de una edicion publicada por,Edizioni casagrande
8877131527,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,L' anno della valanga
8877132949,es un codigo ISBN para el libro,Di una sirena in Parlamento
8877132949,es un codigo ISBN de una edicion publicada por,Edizioni Casagrande
8877132949,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Di una sirena in Parlamento
8879891731,es un codigo ISBN para el libro,Il treno delle italiane
8879891731,es un codigo ISBN de una edicion publicada por,Donzelli
8879891731,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Il treno delle italiane
8871682521,es un codigo ISBN para el libro,L' albero di Lutero
8871682521,es un codigo ISBN de una edicion publicada por,Marcos y Marcos
8871682521,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,L' albero di Lutero
887168138X,es un codigo ISBN para el libro,Né timo né maggiorana
887168138X,es un codigo ISBN de una edicion publicada por,Marcos y Marcos
887168138X,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Né timo né maggiorana
8882124398,es un codigo ISBN para el libro,Quartine per Francesco
8882124398,es un codigo ISBN de una edicion publicada por,Interlinea
8882124398,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Quartine per Francesco
Quartine per Francesco,pertenece al género,Infants
Quartine per Francesco,pertenece al género,Poetry
8844410516,es un codigo ISBN para el libro,Sant'Antoni dai Padü
8844410516,es un codigo ISBN de una edicion publicada por,All'insegna del pesce d'oro
8844410516,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Sant'Antoni dai Padü
8835078687,es un codigo ISBN para el libro,Svizzera italiana
8835078687,es un codigo ISBN de una edicion publicada por,Editrice La Scuola
8835078687,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Svizzera italiana
Svizzera italiana,pertenece al género,History and criticism
Svizzera italiana,pertenece al género,Italian literature
8811632048,es un codigo ISBN para el libro,Un eterno imperfetto
8811632048,es un codigo ISBN de una edicion publicada por,Garzanti
8811632048,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Un eterno imperfetto
385791436X,es un codigo ISBN para el libro,Vom schönen Horizont
385791436X,es un codigo ISBN de una edicion publicada por,Limmat Verlag
385791436X,está escrito en,Alemán
Giovanni Orelli,es autor de la obra,Vom schönen Horizont
8888179003,es un codigo ISBN para el libro,Farciamm da Punt a Punt: facezie dell'Alto Ticino
8888179003,es un codigo ISBN de una edicion publicada por,Messaggi Brevi Ed.
8888179003,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Farciamm da Punt a Punt: facezie dell'Alto Ticino
Farciamm da Punt a Punt: facezie dell'Alto Ticino,pertenece al género,"Italienische, rum anische, r atoromanische Literatur"
Farciamm da Punt a Punt: facezie dell'Alto Ticino,pertenece al género,SEL Library selection
8888179135,es un codigo ISBN para el libro,Fatto soltanto di voce
8888179135,es un codigo ISBN de una edicion publicada por,Messaggi brevi
8888179135,está escrito en,Italiano
9788888179131,es un codigo ISBN para el libro,Fatto soltanto di voce
9788888179131,es un codigo ISBN de una edicion publicada por,Messaggi brevi
9788888179131,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Fatto soltanto di voce
Fatto soltanto di voce,pertenece al género,Italian language
Fatto soltanto di voce,pertenece al género,Texts
Fatto soltanto di voce,pertenece al género,Dialects
8877132493,es un codigo ISBN para el libro,Variazioni su basso ostinato
8877132493,es un codigo ISBN de una edicion publicada por,Casagrande
8877132493,está escrito en,Italiano
Giovanni Orelli,es autor de la obra,Variazioni su basso ostinato
Variazioni su basso ostinato,pertenece al género,Italian literature
