Author,Nationality
José Martí,cuban
Reinaldo Arenas,cuban
Alejo Carpentier,cuban
Leonardo Padura,cuban
José Lezama Lima,cuban
Renée Méndez Capote,cuban
Luis Toledo Sande,cuban
Alma Flor Ada,cuban
Ana Cabrera Vivanco,cuban
Alberto Baeza Flores,cuban
José Carlos Somoza,cuban
Gonzalo de Quesada y Miranda,cuban
Lisandro Otero,cuban
Manuel de la Cruz,cuban
Heberto Padilla,cuban
Salvador Redonet,cuban
Jorge L. Bernard,cuban
Marcelo Pogolotti,cuban
Alvaro Salvador,cuban
Lynda Pongracz,cuban
Mercedes Santos Moray,cuban
Urbano Martínez Carmenate,cuban
Raimundo Cabrera,cuban
Rafael Ocasio,cuban
Eladio Alvarez Ruiz,cuban
José Kozer,cuban
Juan Silvario,cuban
Maria Rita Corticelli,cuban
Pablo de la Torriente Brau,cuban
Sandro R. Barros,cuban
Enrique José Varona,cuban
Carlos Ripoll,cuban
Víctor Casaus,cuban
Enrique de la Osa,cuban
Margarita Engle,cuban
"Marinello, Juan",cuban
Lydia Cabrera,cuban
Madeline Cámara,cuban
Julián del Casal,cuban
José Rodríguez Feo,cuban
Antonio López Prieto,cuban
Reynaldo González,cuban
Dulce María Loynaz,cuban
Armando Chávez,cuban
Carlos Bojórquez Urzaiz,cuban
Ana Suárez Díaz,cuban
Luis de la Paz,cuban
Eliseo Alberto,cuban
N. Zi︠u︡kova,cuban
Rodrigo Lazo,cuban
José Rodríguez Feo,cuban
Bibi Arenas,cuban
"Ortiz, Fernando",cuban
Pablo Armando Fernández,cuban
Natalia Bolívar Aróstegui,cuban
Juana Borrero,cuban
Ciro Bianchi Ross,cuban
Raúl Luis,cuban
León Estrada,cuban
Araceli García-Carranza,cuban
Alberto Gutiérrez de la Solana,cuban
Roberto Fernández Retamar,cuban
Nicolás Guillén,cuban
Medardo Vitier,cuban
Rosario Hiriart,cuban
Germán Rodas Chaves,cuban
Guillermo Cabrera Infante,cuban
Emilio Bejel,cuban
Julio Girona,cuban
Jose Kozer,cuban
Universidad Autonoma de Guadalajara,cuban
Fina García Marruz,cuban
Luis Rafael,cuban
Omar Perdomo,cuban
"Ibarzábal, Federico de",cuban
Néstor Bermúdez,cuban
Cuba. Ministerio de Defensa Nacional.,cuban
Zoe de la Torriente-Brau,cuban
Rogelio M. Riverón,cuban
Luis A. Jiménez,cuban
Sergio Chaple,cuban
Rafael Almanza Alonso,cuban
Reinaldo Cedeño Pineda,cuban
