Autor,Relación,Nacionalidad
José Martí,es_de,Cuba
Reinaldo Arenas,es_de,Cuba
Alejo Carpentier,es_de,Cuba
Leonardo Padura,es_de,Cuba
José Lezama Lima,es_de,Cuba
Renée Méndez Capote,es_de,Cuba
Luis Toledo Sande,es_de,Cuba
Alma Flor Ada,es_de,Cuba
Ana Cabrera Vivanco,es_de,Cuba
Alberto Baeza Flores,es_de,Cuba
José Carlos Somoza,es_de,Cuba
Gonzalo de Quesada y Miranda,es_de,Cuba
Lisandro Otero,es_de,Cuba
Manuel de la Cruz,es_de,Cuba
Heberto Padilla,es_de,Cuba
Salvador Redonet,es_de,Cuba
Jorge L. Bernard,es_de,Cuba
Marcelo Pogolotti,es_de,Cuba
Alvaro Salvador,es_de,Cuba
Lynda Pongracz,es_de,Cuba
Mercedes Santos Moray,es_de,Cuba
Urbano Martínez Carmenate,es_de,Cuba
Raimundo Cabrera,es_de,Cuba
Rafael Ocasio,es_de,Cuba
Eladio Alvarez Ruiz,es_de,Cuba
José Kozer,es_de,Cuba
Juan Silvario,es_de,Cuba
Maria Rita Corticelli,es_de,Cuba
Pablo de la Torriente Brau,es_de,Cuba
Sandro R. Barros,es_de,Cuba
Enrique José Varona,es_de,Cuba
Carlos Ripoll,es_de,Cuba
Víctor Casaus,es_de,Cuba
Enrique de la Osa,es_de,Cuba
Margarita Engle,es_de,Cuba
"Marinello, Juan",es_de,Cuba
Lydia Cabrera,es_de,Cuba
Madeline Cámara,es_de,Cuba
Julián del Casal,es_de,Cuba
José Rodríguez Feo,es_de,Cuba
Antonio López Prieto,es_de,Cuba
Reynaldo González,es_de,Cuba
Dulce María Loynaz,es_de,Cuba
Armando Chávez,es_de,Cuba
Carlos Bojórquez Urzaiz,es_de,Cuba
Ana Suárez Díaz,es_de,Cuba
Luis de la Paz,es_de,Cuba
Eliseo Alberto,es_de,Cuba
N. Zi︠u︡kova,es_de,Cuba
Rodrigo Lazo,es_de,Cuba
José Rodríguez Feo,es_de,Cuba
Bibi Arenas,es_de,Cuba
"Ortiz, Fernando",es_de,Cuba
Pablo Armando Fernández,es_de,Cuba
Natalia Bolívar Aróstegui,es_de,Cuba
Juana Borrero,es_de,Cuba
Ciro Bianchi Ross,es_de,Cuba
Raúl Luis,es_de,Cuba
León Estrada,es_de,Cuba
Araceli García-Carranza,es_de,Cuba
Alberto Gutiérrez de la Solana,es_de,Cuba
Roberto Fernández Retamar,es_de,Cuba
Nicolás Guillén,es_de,Cuba
Medardo Vitier,es_de,Cuba
Rosario Hiriart,es_de,Cuba
Germán Rodas Chaves,es_de,Cuba
Guillermo Cabrera Infante,es_de,Cuba
Emilio Bejel,es_de,Cuba
Julio Girona,es_de,Cuba
Jose Kozer,es_de,Cuba
Universidad Autonoma de Guadalajara,es_de,Cuba
Fina García Marruz,es_de,Cuba
Luis Rafael,es_de,Cuba
Omar Perdomo,es_de,Cuba
"Ibarzábal, Federico de",es_de,Cuba
Néstor Bermúdez,es_de,Cuba
Cuba. Ministerio de Defensa Nacional.,es_de,Cuba
Zoe de la Torriente-Brau,es_de,Cuba
Rogelio M. Riverón,es_de,Cuba
Luis A. Jiménez,es_de,Cuba
Sergio Chaple,es_de,Cuba
Rafael Almanza Alonso,es_de,Cuba
Reinaldo Cedeño Pineda,es_de,Cuba
José Angel Buesa,es_de,Cuba
N. F. Mesa,es_de,Cuba
Regino Eladio Boti y Barreiro,es_de,Cuba
Emilio Comas Paret,es_de,Cuba
Marie-Claire Alexandrine-Sinapah,es_de,Cuba
Camila Henríquez Ureña,es_de,Cuba
Carmen Lorenzetti,es_de,Cuba
Zenaida Echevarría Hidalgo,es_de,Cuba
Francisco Garzón Céspedes,es_de,Cuba
Roberto Fernández Retamar,es_de,Cuba
Manuel Díaz Martínez,es_de,Cuba
Orlando Concepción,es_de,Cuba
Jorge R. Bermúdez,es_de,Cuba
Eduardo Martínez Malo,es_de,Cuba
Alba María Orta Pérez,es_de,Cuba
Rafael Rojas,es_de,Cuba
Francisco Morán,es_de,Cuba
Orlando Castellanos Molina,es_de,Cuba
Lino Novás Calvo,es_de,Cuba
