Obra,Relación,Autor
Versos sencillos,fue_escrito_por,José Martí
Correspondence,fue_escrito_por,José Martí
Obras completas,fue_escrito_por,José Martí
José Martí,fue_escrito_por,José Martí
Nuestra América,fue_escrito_por,José Martí
La edad de oro,fue_escrito_por,José Martí
Martí,fue_escrito_por,José Martí
Escenas Norteamericanas,fue_escrito_por,José Martí
Nuestra América,fue_escrito_por,José Martí
Nuestra America,fue_escrito_por,José Martí
Ismaelillo,fue_escrito_por,José Martí
Articles,fue_escrito_por,José Martí
Cuba: Política y Revolución,fue_escrito_por,José Martí
Versos,fue_escrito_por,José Martí
Amistad funesta,fue_escrito_por,José Martí
Educación,fue_escrito_por,José Martí
Guatemala,fue_escrito_por,José Martí
Páginas escogidas,fue_escrito_por,José Martí
Sus mejores páginas,fue_escrito_por,José Martí
La Muneca Negra,fue_escrito_por,José Martí
Poesia Completa/ Complete Poetry,fue_escrito_por,José Martí
Cuba,fue_escrito_por,José Martí
Norteamericanos,fue_escrito_por,José Martí
Obras escogidas en tres tomos,fue_escrito_por,José Martí
José Martí,fue_escrito_por,José Martí
Obras,fue_escrito_por,José Martí
Pensamientos,fue_escrito_por,José Martí
Lucía Jerez,fue_escrito_por,José Martí
Páginas escogidas,fue_escrito_por,José Martí
Versos libres,fue_escrito_por,José Martí
Poesía completa,fue_escrito_por,José Martí
Cartas de Martí a Porfirio Diaz,fue_escrito_por,José Martí
On Art and Literature,fue_escrito_por,José Martí
Antología,fue_escrito_por,José Martí
Apuntes de un viaje,fue_escrito_por,José Martí
Diario de campaña,fue_escrito_por,José Martí
Discursos revolucionarios,fue_escrito_por,José Martí
El presidio político en Cuba,fue_escrito_por,José Martí
En los Estados Unidos,fue_escrito_por,José Martí
Escenas norteamericanas ..,fue_escrito_por,José Martí
Granos de oro,fue_escrito_por,José Martí
Ideario,fue_escrito_por,José Martí
Ideario pedagógico,fue_escrito_por,José Martí
La clara voz de México,fue_escrito_por,José Martí
Lucía Jerez,fue_escrito_por,José Martí
Martí y la primera revolución cubana,fue_escrito_por,José Martí
Martí y Puerto Rico,fue_escrito_por,José Martí
Obra selecta,fue_escrito_por,José Martí
Política de nuestra América,fue_escrito_por,José Martí
Trincheras de papel,fue_escrito_por,José Martí
Diccionario del pensamiento de José Martí,fue_escrito_por,José Martí
Album De UN Heroe,fue_escrito_por,José Martí
Amor con amor se paga,fue_escrito_por,José Martí
"""Cultivo una rosa blanca"" Antología",fue_escrito_por,José Martí
La Edad de Oro,fue_escrito_por,José Martí
Cronicas,fue_escrito_por,José Martí
Crítica y Arte,fue_escrito_por,José Martí
Jose Marti,fue_escrito_por,José Martí
Los Zapaticos De Rosa/rosa's Little Shoes,fue_escrito_por,José Martí
Poesías,fue_escrito_por,José Martí
La esperanza del mundo,fue_escrito_por,José Martí
Marti  por Marti,fue_escrito_por,José Martí
Escritos desconocidos de José Martí,fue_escrito_por,José Martí
José Martí y Chile,fue_escrito_por,José Martí
"La edad de oro, 1889-1944",fue_escrito_por,José Martí
Martí,fue_escrito_por,José Martí
Páginas selectas,fue_escrito_por,José Martí
Sus mejores páginas,fue_escrito_por,José Martí
Diarios de campaña,fue_escrito_por,José Martí
Por nuestra América,fue_escrito_por,José Martí
El pensamiento martiano,fue_escrito_por,José Martí
La Edad De Oro Y Otros Relatos/ the Golden Age and Other Stories,fue_escrito_por,José Martí
Aforismos,fue_escrito_por,José Martí
Vibra el aire y retumba,fue_escrito_por,José Martí
Viajeros hispanoamericanos en Madrid,fue_escrito_por,José Martí
"Lucía Jerez, o, Amistad funesta",fue_escrito_por,José Martí
Abdala (Diferencias / Differences),fue_escrito_por,José Martí
