Obra,Relación,País del Autor
Versos sencillos,el_autor_es_del_pais,Cuba
Correspondence,el_autor_es_del_pais,Cuba
Obras completas,el_autor_es_del_pais,Cuba
José Martí,el_autor_es_del_pais,Cuba
Nuestra América,el_autor_es_del_pais,Cuba
La edad de oro,el_autor_es_del_pais,Cuba
Martí,el_autor_es_del_pais,Cuba
Escenas Norteamericanas,el_autor_es_del_pais,Cuba
Nuestra América,el_autor_es_del_pais,Cuba
Nuestra America,el_autor_es_del_pais,Cuba
Ismaelillo,el_autor_es_del_pais,Cuba
Articles,el_autor_es_del_pais,Cuba
Cuba: Política y Revolución,el_autor_es_del_pais,Cuba
Versos,el_autor_es_del_pais,Cuba
Amistad funesta,el_autor_es_del_pais,Cuba
Educación,el_autor_es_del_pais,Cuba
Guatemala,el_autor_es_del_pais,Cuba
Páginas escogidas,el_autor_es_del_pais,Cuba
Sus mejores páginas,el_autor_es_del_pais,Cuba
La Muneca Negra,el_autor_es_del_pais,Cuba
Poesia Completa/ Complete Poetry,el_autor_es_del_pais,Cuba
Cuba,el_autor_es_del_pais,Cuba
Norteamericanos,el_autor_es_del_pais,Cuba
Obras escogidas en tres tomos,el_autor_es_del_pais,Cuba
José Martí,el_autor_es_del_pais,Cuba
Obras,el_autor_es_del_pais,Cuba
Pensamientos,el_autor_es_del_pais,Cuba
Lucía Jerez,el_autor_es_del_pais,Cuba
Páginas escogidas,el_autor_es_del_pais,Cuba
Versos libres,el_autor_es_del_pais,Cuba
Poesía completa,el_autor_es_del_pais,Cuba
Cartas de Martí a Porfirio Diaz,el_autor_es_del_pais,Cuba
On Art and Literature,el_autor_es_del_pais,Cuba
Antología,el_autor_es_del_pais,Cuba
Apuntes de un viaje,el_autor_es_del_pais,Cuba
Diario de campaña,el_autor_es_del_pais,Cuba
Discursos revolucionarios,el_autor_es_del_pais,Cuba
El presidio político en Cuba,el_autor_es_del_pais,Cuba
En los Estados Unidos,el_autor_es_del_pais,Cuba
Escenas norteamericanas ..,el_autor_es_del_pais,Cuba
Granos de oro,el_autor_es_del_pais,Cuba
Ideario,el_autor_es_del_pais,Cuba
Ideario pedagógico,el_autor_es_del_pais,Cuba
La clara voz de México,el_autor_es_del_pais,Cuba
Lucía Jerez,el_autor_es_del_pais,Cuba
Martí y la primera revolución cubana,el_autor_es_del_pais,Cuba
Martí y Puerto Rico,el_autor_es_del_pais,Cuba
Obra selecta,el_autor_es_del_pais,Cuba
Política de nuestra América,el_autor_es_del_pais,Cuba
Trincheras de papel,el_autor_es_del_pais,Cuba
Diccionario del pensamiento de José Martí,el_autor_es_del_pais,Cuba
Album De UN Heroe,el_autor_es_del_pais,Cuba
Amor con amor se paga,el_autor_es_del_pais,Cuba
"""Cultivo una rosa blanca"" Antología",el_autor_es_del_pais,Cuba
La Edad de Oro,el_autor_es_del_pais,Cuba
Cronicas,el_autor_es_del_pais,Cuba
Crítica y Arte,el_autor_es_del_pais,Cuba
Jose Marti,el_autor_es_del_pais,Cuba
Los Zapaticos De Rosa/rosa's Little Shoes,el_autor_es_del_pais,Cuba
Poesías,el_autor_es_del_pais,Cuba
La esperanza del mundo,el_autor_es_del_pais,Cuba
Marti  por Marti,el_autor_es_del_pais,Cuba
Escritos desconocidos de José Martí,el_autor_es_del_pais,Cuba
José Martí y Chile,el_autor_es_del_pais,Cuba
"La edad de oro, 1889-1944",el_autor_es_del_pais,Cuba
Martí,el_autor_es_del_pais,Cuba
Páginas selectas,el_autor_es_del_pais,Cuba
Sus mejores páginas,el_autor_es_del_pais,Cuba
Diarios de campaña,el_autor_es_del_pais,Cuba
Por nuestra América,el_autor_es_del_pais,Cuba
El pensamiento martiano,el_autor_es_del_pais,Cuba
La Edad De Oro Y Otros Relatos/ the Golden Age and Other Stories,el_autor_es_del_pais,Cuba
Aforismos,el_autor_es_del_pais,Cuba
Vibra el aire y retumba,el_autor_es_del_pais,Cuba
