Obra,Relación,Fecha de Publicación
Versos sencillos,fue_publicado_en,1998-02-01 00:00:00
Escenas Norteamericanas,fue_publicado_en,2004-06-10 00:00:00
Nuestra América,fue_publicado_en,2004-06-10 00:00:00
Nuestra America,fue_publicado_en,1997-06-01 00:00:00
Cuba: Política y Revolución,fue_publicado_en,2004-07-29 00:00:00
Amistad funesta,fue_publicado_en,2006-07-20 00:00:00
La Muneca Negra,fue_publicado_en,2004-12-01 00:00:00
Poesia Completa/ Complete Poetry,fue_publicado_en,2005-06-01 00:00:00
Cuba,fue_publicado_en,2004-07-29 00:00:00
Norteamericanos,fue_publicado_en,2004-07-29 00:00:00
On Art and Literature,fue_publicado_en,1982-12-01 00:00:00
Album De UN Heroe,fue_publicado_en,2002-09-30 00:00:00
Amor con amor se paga,fue_publicado_en,2007-01-25 00:00:00
La Edad de Oro,fue_publicado_en,1997-01-01 00:00:00
Cronicas,fue_publicado_en,2007-05-08 00:00:00
Crítica y Arte,fue_publicado_en,2004-07-29 00:00:00
Jose Marti,fue_publicado_en,1996-06-01 00:00:00
Los Zapaticos De Rosa/rosa's Little Shoes,fue_publicado_en,1997-02-01 00:00:00
Diarios de campaña,fue_publicado_en,2004-06-30 00:00:00
La Edad De Oro Y Otros Relatos/ the Golden Age and Other Stories,fue_publicado_en,2006-09-30 00:00:00
Vibra el aire y retumba,fue_publicado_en,1997-01-01 00:00:00
Abdala (Diferencias / Differences),fue_publicado_en,2006-03-14 00:00:00
Cartas a María Mantilla (Memoria),fue_publicado_en,2007-01-01 00:00:00
Diario de campaña,fue_publicado_en,2006-02-01 00:00:00
Escenas americanas,fue_publicado_en,2006-05-05 00:00:00
Escenas latinoamericanas (Diferencias / Differences),fue_publicado_en,2006-10-26 00:00:00
Poemas de José Martí,fue_publicado_en,2007-01-01 00:00:00
Antes que anochezca,fue_publicado_en,1994-10-01 00:00:00
El Portero (Colección el Angel de la Jiribilla),fue_publicado_en,1990-06-02 00:00:00
Old Rosa,fue_publicado_en,1989-07-01 00:00:00
Otra vez el mar,fue_publicado_en,1985-11-29 00:00:00
"The Color of Summer, or the New Garden of Earthly Delights",fue_publicado_en,1999-06-01 00:00:00
Mundo alucinante,fue_publicado_en,2001-12-31 00:00:00
El Asalto / the Assault,fue_publicado_en,1995-06-01 00:00:00
Celestino Antes Del Alba,fue_publicado_en,2000-06-01 00:00:00
"Otra Vez El Mar/Once Again, the Sea",fue_publicado_en,2002-12-01 00:00:00
"Termina El Desfile, Seguido De Adios a Mama/ End of the Parade",fue_publicado_en,2007-08-15 00:00:00
Voluntad de Vivir Manifestandose,fue_publicado_en,2001-03-01 00:00:00
Adios a Mama - de La Habana a Nueva York,fue_publicado_en,1997-07-01 00:00:00
"Central, El",fue_publicado_en,1981-12-01 00:00:00
El Mundo Alucinante/A Hallucinations (Fabula) (Fabula),fue_publicado_en,2001-12-01 00:00:00
El Mundo Alucinante,fue_publicado_en,2002-06-01 00:00:00
El Palacio De Las Blanquisimas Mofetas/the Palace of the Whitest Skunks,fue_publicado_en,2000-04-01 00:00:00
El reino de este mundo,fue_publicado_en,1957-06-01 00:00:00
Los pasos perdidos,fue_publicado_en,1953-10-01 00:00:00
El siglo de las luces,fue_publicado_en,1977-10-01 00:00:00
Guerra del tiempo,fue_publicado_en,1996-02-01 00:00:00
El acoso,fue_publicado_en,1979-06-30 00:00:00
Concierto barroco,fue_publicado_en,1998-05-01 00:00:00
Acoso,fue_publicado_en,1990-09-01 00:00:00
El arpa y la sombra,fue_publicado_en,1999-12-01 00:00:00
La consagracion de la primavera,fue_publicado_en,2000-09-01 00:00:00
El Recurso Del Metodo,fue_publicado_en,1997-06-01 00:00:00
El camino de Santiago,fue_publicado_en,1996-12-01 00:00:00
Recurso del método,fue_publicado_en,1981-02-01 00:00:00
La Harpe Et L'Ombre,fue_publicado_en,1979-08-21 00:00:00
Relatos,fue_publicado_en,2000-04-01 00:00:00
CONCIERTO BARROCO (Nueva Criminologia),fue_publicado_en,1979-01-01 00:00:00
Cuentos Latinoamericanos,fue_publicado_en,2003-09-01 00:00:00
"Recurso del Metodo, El",fue_publicado_en,2001-02-01 00:00:00
Selección de Ensayos,fue_publicado_en,1997-02-01 00:00:00
Cajon de Cuentos,fue_publicado_en,2004-04-01 00:00:00
"Concierto Barroco - Reino de Este Mundo, El",fue_publicado_en,1998-02-01 00:00:00
Ecue-Yamba-O (Libro amigo ; 1502/634),fue_publicado_en,1983-06-01 00:00:00
"Ecue-yamba-o / ""Praise be the Lord' (Biblioteca De Autor / Author Library)",fue_publicado_en,2002-01-01 00:00:00
El Recurso Del Metodo / the Resource of the Method,fue_publicado_en,2006-09-30 00:00:00
Novela Latinoamericana En Visperas de Un Nuevo Sig (La Creacion literaria),fue_publicado_en,1998-01-01 00:00:00
Obras Completas de Alejo Carpenter Volumen 3,fue_publicado_en,1984-01-01 00:00:00
Obras Completas Vol. 3 Carpentier,fue_publicado_en,2004-02-01 00:00:00
