Obra,Relación,Editorial
Antología breve,fue_publicado_por,Fondo de Cultura Económica
Organismos administrativos del trabajo. Prólogo por Humberto A. Podetti,fue_publicado_por,Gaceta del Trabajo
"El inocente ; seguido de, Treinta y siete fragmentos",fue_publicado_por,Ediciones Orbis
Poesía nicaragüense,fue_publicado_por,Editorial Nueva Nicaragua
Diccionario de los Suenos,fue_publicado_por,Llewellyn Publications
La guerra gaucha,fue_publicado_por,Emece  Editores
Prosa y poesía,fue_publicado_por,Cátedra
Voleibol El Reglamento Comentado,fue_publicado_por,Stadium Books
Pie forzado,fue_publicado_por,Ediciones Aguadulce
Balmaceda,fue_publicado_por,"Ediciones, Centro de Estudios Bicentenario"
Pelos en la lengua,fue_publicado_por,Ediciones del Ermitaño
Inéditos de La Cristiada,fue_publicado_por,Editorial Conexión Gráfica
El rock de la cárcel,fue_publicado_por,Editores Mexicanos Unidos
Vocero del mar,fue_publicado_por,Programa Sea Grant
Vice,fue_publicado_por,Vergara Editor S.A.
... Mujer,fue_publicado_por,[Talleres de la Editorial Cultura]
Antología,fue_publicado_por,Editorial Novaro-México
Los dias de Cipriano CAstro,fue_publicado_por,Nueva Segovia
"México, historia de un pueblo",fue_publicado_por,SEP
De peña pobre,fue_publicado_por,Siglo Ventiuno Editores
Erdera (Entre Voces),fue_publicado_por,Fondo de Cultura Economica
José Martí,fue_publicado_por,"Penguin USA, Inc."
Como agua para chocolate,fue_publicado_por,Mondadori
Croquis mexicanos,fue_publicado_por,B. Costa-Amic
La tumba,fue_publicado_por,Grijalbo
Hacia una visión positiva del puertorriqueño,fue_publicado_por,Editorial Edil
La Araucanía,fue_publicado_por,Universidad Católica de Temuco
Los caciques,fue_publicado_por,"Ediciones de ""La Razon"""
Vida y muerte de Federico García Lorca,fue_publicado_por,Ediciones B
El pez volador,fue_publicado_por,Editorial de la Mujer
La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,fue_publicado_por,Diana
Artículos,fue_publicado_por,"Ministerio de Educación, Dirección de Cultura"
"Andrés Bello, semblanza y algunos comentarios de su obra",fue_publicado_por,Ministerio de Educación
En esto creo,fue_publicado_por,Bloomsbury
Pretexta,fue_publicado_por,Ediciones de la Máquina de Escribir
Tientos y diferencias,fue_publicado_por,Arca Editorial
Selected poems of Rubén Darío,fue_publicado_por,Associated University Presses
Aura,fue_publicado_por,نشر نی
Diario de un poeta recién casado (1916),fue_publicado_por,Casa Editorial Calleja
Die Ringe des Saturn,fue_publicado_por,Fischer Taschenbuch Verlag
La poesía de David Escobar Galindo,fue_publicado_por,Academia Salvadoreña de la Lengua
Mientras la muerte llega,fue_publicado_por,Libro Mex Editores
Sujeto mío,fue_publicado_por,Rendija
Veinte poemas para Alfonsina,fue_publicado_por,"Frente de Afirmación Hispanista, A.C."
Accidentes de la razón,fue_publicado_por,Universidad Autónoma de Nuevo León
"Amado Nervo, el periodista",fue_publicado_por,Universidad Autónoma de Nayarit]
Il Combattimento Spirituale,fue_publicado_por,The New man Press
La controversia sobre el territorio de Belice y el procedimiento ex-aequo et bono,fue_publicado_por,Editorial Universitaria
Poesía para estudiantes,fue_publicado_por,Libertarias/Prodhufi
El general en su laberinto,fue_publicado_por,Nea Sinora
Cuba,fue_publicado_por,Editora Alfa y Omega
La aparición de lo invisible,fue_publicado_por,Editorial Aldus
Tradición histórica oral ancashina,fue_publicado_por,"Editorial ""SC,"""
Locura de amor,fue_publicado_por,Editorial Gente Nueva
Rafael María de Mendive,fue_publicado_por,Ediciones Union
Los días alcionios,fue_publicado_por,Universidad APEC
El mundo poético de Rudy Solares Gálvez,fue_publicado_por,[s.n.]
José Vasconcelos y la universidad,fue_publicado_por,"UNAM, Coordinación de Difusión Cultural, Dirección de Literatura"
La peregrinación de Bayoán,fue_publicado_por,[P. R.] Editorial Edil
Eccentric neighborhoods,fue_publicado_por,"Farrar, Straus, and Giroux"
Juan del Encina y los origenes del teatro español,fue_publicado_por,Imp. de La Revista Española
Panorama de la literatura salvadoreña,fue_publicado_por,"Ministerio de Educación, Dirección General de Publicaciones"
De la gaveta íntima,fue_publicado_por,Vda. de Ch. Bouret
Lógica y mistica,fue_publicado_por,University of Puerto Rico
Almost a Bride,fue_publicado_por,Bantam Books
El parnaso mexicano,fue_publicado_por,Universidad Autónoma de México
Crónicas,fue_publicado_por,Editorial Arte y Literatura.
Yerma,fue_publicado_por,giulio einaudi
En torno a la filosofía mexicana,fue_publicado_por,Alianza Editorial Mexicana
Inquisición sobre la Inquisición,fue_publicado_por,Ediciones Proa
José Revueltas y el 68,fue_publicado_por,"Universidad Nacional Autónoma de México, Coordinación de Humanidades, Programa Editorial"
Escapé de Cuba,fue_publicado_por,"Centro de Investigación y Desarrollo de la Cultura Cubana ""Juan Marinello"""
"Fernando del Paso, 2007",fue_publicado_por,Alfaguara
Importancia de algunos Cérvidos en la alimentación. Introducción y aclimatación de ciertas especies exóticas. Domesticación de las aborígenes,fue_publicado_por,Imprenta de la Dirección de Estudios Biológicos
Memoria de mis putas tristes,fue_publicado_por,Record
Respuesta a sor Filotea,fue_publicado_por,Linkgua US
Las Grandes Lluvias,fue_publicado_por,Fondo De Cultura Economica USA
El hombre baldío,fue_publicado_por,Editorial Aldus
"Idea de México, volumen V",fue_publicado_por,"Consejo Nacional para la Cultura y las Artes, Fondo Editorial Tierra Adentro"
Memorias de Pancho Villa,fue_publicado_por,Compãnía General de Ediciones
