Obra,Relación,Tema
Obras Reunidas II (Obras Reunidas),tiene_como_tema,General
Vida y Pensamiento del Dr. José Francisco Peña Gómez,tiene_como_tema,Politics and government
Conjeturas durante el segundo tiempo de Leonel,tiene_como_tema,Politics and government
Semblanza de sor Juana,tiene_como_tema,"Juana Inés de la Cruz, Sister, 1651-1695."
Bibliografía de Trujillo,tiene_como_tema,"Trujillo Molina, Rafael Leónidas, 1891-1961 -- Bibliography."
I y II Taller Internacional de vivienda popular,tiene_como_tema,Low-income housing
Silencio De Blanca,tiene_como_tema,Spanish: Adult Fiction
Las Palabras De La Tribu,tiene_como_tema,General
Al-Andalus,tiene_como_tema,History / Ancient / General
Escritores en la diplomacia mexicana,tiene_como_tema,Mexico. Secretaría de Relaciones Exteriores
Una mirada al teatro en México (2000-2010),tiene_como_tema,History and criticism
Cuentos hispanoamericanos,tiene_como_tema,Spanish American fiction -- 20th century
"René del Risco, lo dominican, lo dominicano, la modernidad",tiene_como_tema,History and criticism
Le Hamaca De La Vaca,tiene_como_tema,Spanish: Grades 1-2
Acerca de lo negro y la africanía en la lengua literaria de Motivos de son de Nicolás Guillén,tiene_como_tema,Spanish language
Historia de la literatura colombiana,tiene_como_tema,"Authors, Colombian."
Fray José María de Jesus Belaunzarán y Ureña,tiene_como_tema,Franciscans -- Mexico -- Biography.
La universidad de cara al siglo XXI,tiene_como_tema,Aims and objectives
La reforma universitaria : desafíos y perspectivas noventa años después - Primera edición,tiene_como_tema,Universidad Nacional de Córdoba -- History -- 20th century
"Humor, ironía y lectura",tiene_como_tema,Mexican fiction -- 20th century -- History and criticism.
La acción de la CIA en el Perú,tiene_como_tema,United States. Central Intelligence Agency.
La respuesta liberal,tiene_como_tema,Liberalism
Cesto de llamas,tiene_como_tema,"Authors, Cuban -- 19th century -- Biography."
Reflexiones de un ciudadano del mundo,tiene_como_tema,History
"Mi caballo mi Perro y mi rifle/My horse, my dog and my rifle",tiene_como_tema,General
México en 1932,tiene_como_tema,"Pérez Martínez, Héctor."
Los refugiados en España,tiene_como_tema,Spain
Quiénes eran los ricos al final de la dictadura de Trujillo,tiene_como_tema,Statistics
De Bolombolo a Aracataca,tiene_como_tema,History
"Empresa, economía y libertad",tiene_como_tema,Liberalism
The daily daily,tiene_como_tema,Cuba -- Poetry.
Carlos para todos,tiene_como_tema,Nicaragua -- History -- 1937-1979 -- Caricatures and cartoons.
Y nos volvemos a encontrar,tiene_como_tema,Mexico -- Intellectual life -- Congresses
Pedro Mir y René del Risco Bermúdez en la literatura dominicana,tiene_como_tema,Criticism and interpretation
Cuando llega el otoño,tiene_como_tema,Cuban poetry
La escondida senda,tiene_como_tema,"Poets, Spanish -- Classical period, 1500-1700."
Viaje inconcluso,tiene_como_tema,Voyages and travels
Geopolítica,tiene_como_tema,Peru -- Boundaries -- Ecuador.
Una nueva poesía española (1950-1955),tiene_como_tema,Spanish poetry -- 20th century -- History and criticism
Calibán,tiene_como_tema,Latin America -- Civilization
Azul...,tiene_como_tema,Poetry
Catorce sermones escritos en castellano,tiene_como_tema,Spanish Occasional sermons
Lola Rodríguez de Tió,tiene_como_tema,"Rodríguez de Tió, Lola, 1843-1924."
Caminos del ser dominicano,tiene_como_tema,Dominican poetry
Recordada Sombra,tiene_como_tema,Fairy Tales & Folklore - Anthologies
Que leen los que no leen?/ What do people that don't read read?,tiene_como_tema,Spanish: Adult Nonfiction
La izquierda centroamericana en la encrucijada,tiene_como_tema,Radicalism -- Central America.
Studi di iberistica in memoria di Alberto Boscolo,tiene_como_tema,Portugal -- Civilization.
Fábulas del Pensador mexicano [i.e. J. J. Fernández de Lizardi],tiene_como_tema,Juvenile literature
Españoles En Cuba En El Siglo XX / Spanish in Cuba in the 20th Century,tiene_como_tema,Human Geography
El movimiento de vanguardia de Nicaragua,tiene_como_tema,Nicaraguan poetry -- 20th century.
Nuevo Catecismo para Indios Remisos,tiene_como_tema,Spanish: Adult Fiction
Historiografía e identidad y otros ensayos de filosofía de la historia mexicana,tiene_como_tema,History
Demonios en casa,tiene_como_tema,Mexican Short stories
Introduction del symbolo de la fe,tiene_como_tema,"Theology, Doctrinal"
La integración económica de Centroamérica en la siguiente etapa,tiene_como_tema,Economic integration
Bandera al viento,tiene_como_tema,World politics -- 1900-1945 -- Pictorial works
Los Estados Unidos y Trujillo--año 1946,tiene_como_tema,United States -- Foreign relations -- Dominican Republic -- Sources.
El Hombre Que Lo Tenia Todo Todo Todo (Tres Edades),tiene_como_tema,Children's Books/Baby-Preschool
Imperialismo y revolución en Centroamérica,tiene_como_tema,Foreign relations
"Cambios económicos producidos por la expansión de la horticultura de exportación en la organización social de las configuraciones socioculturales de Patzicía y Zaragoza, Chimaltenango",tiene_como_tema,Produce trade
Cantos De Vida Y Esperanza/ Stories of Life and Hope,tiene_como_tema,Caribbean & Latin American
América latina y sus comunidades discursivas,tiene_como_tema,Postmodernism -- Latin America
Sílabas extrañas,tiene_como_tema,Salvadoran literature
DOS Siglos De Poesia Mexicana : Del XIX Al Fin Del Milenio : Una Antologia / Two Centuries Of Mexican Poetry: Del XIX Al Fin Del Milenio,tiene_como_tema,Spanish: Adult Nonfiction
El oído,tiene_como_tema,Science & Nature - Anatomy & Physiology
Todos los miedos,tiene_como_tema,Women journalists
Una Extrana Visita / Strange Visitors (Libros Para Contar (Little Books)),tiene_como_tema,Children's Books/Ages 4-8 Fiction
"Palestina, del judío errante al judío errado!",tiene_como_tema,Jewish Studies
Estudios sobre el experimento Acali,tiene_como_tema,Voyages and travels.
El sueño de un general,tiene_como_tema,"Zamora, Ezequiel, 1817-1860 -- Fiction."
¡De panzazo!,tiene_como_tema,Evaluación
Materiales para la construcción del canon petrarquista,tiene_como_tema,Italian poetry
España en Nicolás Guillén,tiene_como_tema,"Guillén, Nicolás, -- 1902-1989 -- Knowledge -- Spain."
La re/presentación de la violencia en el teatro latinoamericano contemporáneo,tiene_como_tema,Theater
La verdadera ubicación del Golfo de las Flechas,tiene_como_tema,"Columbus, Christopher -- Travel -- Hispaniola."
Juan Ramón Jimenez en su obra,tiene_como_tema,"Jiménez, Juan Ramón, -- 1881-1958."
La lucha sin fin,tiene_como_tema,Costa Rica -- Politics and government -- 1948-
Permanencia voluntaria,tiene_como_tema,Motion picture audiences -- Psychology.
"Diccionario de autores dominicanos, 1492-2003",tiene_como_tema,Spanish
José,tiene_como_tema,"Authors, Cuban -- 19th century -- Biography -- Juvenile literature."
De puno d eletra,tiene_como_tema,Spanish: Adult Nonfiction
Memorias,tiene_como_tema,Statesmen -- Mexico -- Biography.
José Chávez Morado,tiene_como_tema,"Chávez Morado, José, 1909-  -- Catalogs."
Indalecio Prieto y el socialismo español,tiene_como_tema,Statesmen -- Spain -- Biography.
Cuba en la paz de Versalles,tiene_como_tema,Cuba -- Politics and government
La educación nacional,tiene_como_tema,Education -- Mexico.
Alejandro Lerroux,tiene_como_tema,Politics and government
"Hijos de la dehesa, nietos de la pampa",tiene_como_tema,Emigration and immigration
Mariátegui,tiene_como_tema,"Mariátegui, José Carlos, 1894-1930."
Educación de adultos en Cuba,tiene_como_tema,Adult education -- Cuba.
Letras e imágenes,tiene_como_tema,Mexico -- Description and travel.
Selva (Forest World),tiene_como_tema,Readers
"This great people has said ""enough"" and has begun to move . . .",tiene_como_tema,English poetry
Los Rituales Del Caos (Los Libros del Consumidor),tiene_como_tema,Popular culture
La Marimbula (Instrumentos de la Musica Afrocubana),tiene_como_tema,Musical Instruments - Percussion
Atlas de Arte Anatomico,tiene_como_tema,Anatomy
El Nuevo diario,tiene_como_tema,"Nuevo diario (Managua, Nicaragua)"
Premio FIL de Literatura en Lenguas Romances 20 años / prólogo de Vicente Quirarte,tiene_como_tema,History
El estado de Chihuahua,tiene_como_tema,Chihuahua (Mexico : State) -- Tours.
Letras bolivianas de hoy: Renato Prada y Pedro  Shimose,tiene_como_tema,"Shimose, Pedro, -- 1940-"
