Work ID,Title,Author,Editions,Publish_date,Subjects
OL858784W,Versos sencillos,José Martí,"[{'isbn': '9781889441078', 'publishers': ['Romance Monographs'], 'languages': ['English']}, {'isbn': '9781558852181', 'publishers': ['Arte Publico Pr'], 'languages': ['English']}, {'isbn': '9781558852181', 'publishers': ['Arte Público Press'], 'languages': ['English']}, {'isbn': '', 'publishers': ['Ediciones La Tertulia'], 'languages': ['Spanish']}, {'isbn': '0786423862', 'publishers': ['McFarland & Co.'], 'languages': ['English']}, {'isbn': '1889441074', 'publishers': ['Romance Monographs'], 'languages': []}, {'isbn': '', 'publishers': ['Ediciones Extramuros'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Ediciones Acana'], 'languages': ['Spanish']}]",1998-02-01 00:00:00,['Literary Criticism']
OL858788W,Correspondence,José Martí,"[{'isbn': '9682310059', 'publishers': ['Siglo Veintiuno'], 'languages': ['Spanish']}, {'isbn': '9685011192', 'publishers': ['Centro de Estudios Martianos', 'DGE Ediciones'], 'languages': ['Spanish']}, {'isbn': '9590602711', 'publishers': ['Editorial de Ciencias Sociales'], 'languages': ['Spanish']}, {'isbn': '9590601006', 'publishers': ['Editorial de Ciencias Sociales'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Gredos'], 'languages': ['Spanish']}, {'isbn': '9597006820', 'publishers': ['Centro de Estudios Martianos'], 'languages': ['Spanish']}, {'isbn': '8424919513', 'publishers': ['Gredos'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial de Ciencias Sociales'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Universidad Nacional Autónoma de México'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Gente Nueva', 'Centro de Estudios Martianos]', 'Distribuido por Ediciones Vitral'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Gredos'], 'languages': ['Spanish']}]",,"['United States -- Politics and government -- 1885-1889.', 'United States -- Politics and government -- 1889-1893.', 'United States -- Social life and customs -- 1865-1918.', 'New York (State) -- Politics and government -- 1865-1950.']"
OL18001098W,Obras completas,José Martí,"[{'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Tierra Nueva'], 'languages': ['Spanish']}]",,[]
OL858786W,José Martí,José Martí,"[{'isbn': '0142437042', 'publishers': ['Penguin Books', 'Penguin Classics'], 'languages': ['English']}, {'isbn': '8472324575', 'publishers': ['Instituto de Cooperación Iberoamericana, Ediciones de Cultura Hispánica'], 'languages': ['Spanish']}, {'isbn': '8478443002', 'publishers': ['Ministerio de Cultura', 'Ediciones Siruela'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Edizioni di Ideologie'], 'languages': ['Italian']}, {'isbn': '', 'publishers': ['Ministerio de Cultura, Juventud y Deportes, Departamento de Publicaciones'], 'languages': ['Spanish']}, {'isbn': '8495427079', 'publishers': ['Ediciones Eneida'], 'languages': ['Spanish']}, {'isbn': '9781101152850', 'publishers': ['Penguin USA, Inc.'], 'languages': ['English']}, {'isbn': '', 'publishers': ['P. Seghers'], 'languages': ['French']}, {'isbn': '', 'publishers': ['Archivo Nacional de Cuba'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Las Americas Pub. Co.'], 'languages': ['Spanish']}]",,[]
OL858785W,Nuestra América,José Martí,"[{'isbn': '9788390011639', 'publishers': ['Uniwersytet Warszawski, Centrum Studiów Latynoamerykańskich'], 'languages': ['Polish']}, {'isbn': '', 'publishers': ['Imprenta y papelería de Rambla y Bouza'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Trópico'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Ediciones Ariel'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Secretaría de Educación Pública'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Biblioteca Ayacucho'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Ediciones Ariel'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Casa de las Américas'], 'languages': ['Spanish']}]",,"['Martí, José, 1853-1895.', 'America.']"
OL858787W,La edad de oro,José Martí,"[{'isbn': '', 'publishers': ['Editora Juvenil, Editorial Nacional de Cuba'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Cultural'], 'languages': ['Spanish']}, {'isbn': '8439716613', 'publishers': ['Mondadori'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Huemul'], 'languages': ['Spanish']}, {'isbn': '0897299477', 'publishers': ['Ediciones Universal'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Gente Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editora Juvenil, Editorial Nacional de Cuba'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Gente Nueva'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Departamento Editorial, Ministerio de Cultura'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Editorial Raigal'], 'languages': ['Spanish']}]",,[]
OL858783W,Martí,José Martí,"[{'isbn': '', 'publishers': ['La Casa del Estudiante'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Ediciones Oasis'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': [], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Ediciones Oasis'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Ediciones de la Secretaría de educación pública'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Biblioteca de Marcha'], 'languages': ['Spanish']}]",,[]
OL7503487W,Escenas Norteamericanas,José Martí,"[{'isbn': '9781414700878', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '9781414700755', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '9781414700830', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '9781414700762', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '9781414700656', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '9781414700854', 'publishers': ['Athena Books'], 'languages': ['Spanish']}]",2004-06-10 00:00:00,"['Jose Marti', 'Literary Collections / Caribbean & Latin American', 'Caribbean & Latin American', 'Essays', 'Literary Collections', 'Spanish: Adult Fiction']"
OL7503488W,Nuestra América,José Martí,"[{'isbn': '9781414700809', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '9781414700953', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '9781414700908', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '9781414700922', 'publishers': ['Athena Books'], 'languages': ['Spanish']}, {'isbn': '', 'publishers': ['Biblioteca Ayacucho'], 'languages': ['Spanish']}, {'isbn': '9781414700717', 'publishers': ['Athena Books'], 'languages': ['Spanish']}]",2004-06-10 00:00:00,"['Jose Marti', 'Literary Collections / Caribbean & Latin American', 'Literary Collections / Letters', 'Caribbean & Latin American', 'Essays', 'Letters', 'Literary Collections', 'Spanish: Adult Fiction']"
OL7503486W,Nuestra America,José Martí,"[{'isbn': '9789500303521', 'publishers': ['Losada Losada'], 'languages': ['Spanish']}, {'isbn': '9789592101999', 'publishers': ['Casa Editora Abril'], 'languages': ['Spanish']}, {'isbn': '9789500306386', 'publishers': ['Losada'], 'languages': ['Spanish']}, {'isbn': '9781410107787', 'publishers': ['Fredonia Books (NL)'], 'languages': ['English']}, {'isbn': '9781410107794', 'publishers': ['Fredonia Books (NL)'], 'languages': ['English']}]",1997-06-01 00:00:00,"['General', 'Fiction - General']"
