sujeto,relacion,objeto
Dune,tiene_categoría,Science Fiction
Walden,tiene_categoría,Biography
Walden,tiene_categoría,Homes and haunts
Walden,tiene_categoría,American Authors
Walden,tiene_categoría,Social life and customs
Walden,tiene_categoría,Solitude
Walden,tiene_categoría,Natural history
Walden,tiene_categoría,Wilderness areas
Walden,tiene_categoría,Philosophy
Walden,tiene_categoría,English essays
Walden,tiene_categoría,Wildnerness areas
The Autobiography of Benjamin Franklin,tiene_categoría,Wills
The Autobiography of Benjamin Franklin,tiene_categoría,Scientists
The Autobiography of Benjamin Franklin,tiene_categoría,Printers
The Autobiography of Benjamin Franklin,tiene_categoría,American Maxims
The Autobiography of Benjamin Franklin,tiene_categoría,Inventors
The Autobiography of Benjamin Franklin,tiene_categoría,Correspondence
The Autobiography of Benjamin Franklin,tiene_categoría,Philosophers
The Autobiography of Benjamin Franklin,tiene_categoría,Politics and government
The Autobiography of Benjamin Franklin,tiene_categoría,Statesman
The Autobiography of Benjamin Franklin,tiene_categoría,Open Library Staff Picks
Roughing It,tiene_categoría,Biography
Roughing It,tiene_categoría,Homes and haunts
Roughing It,tiene_categoría,American Authors
Roughing It,tiene_categoría,19th century
Roughing It,tiene_categoría,Business
Roughing It,tiene_categoría,Christian Science
Roughing It,tiene_categoría,Description and travel
Roughing It,tiene_categoría,Intellectual life
Roughing It,tiene_categoría,Journeys
Roughing It,tiene_categoría,Law and politics
The Handmaid's Tale,tiene_categoría,brothels
The Handmaid's Tale,tiene_categoría,Canadian authors
The Handmaid's Tale,tiene_categoría,Canadian fantasy fiction
The Handmaid's Tale,tiene_categoría,Canadian fiction (fictional works by one author)
The Handmaid's Tale,tiene_categoría,Christian fundamentalism
The Handmaid's Tale,tiene_categoría,Dystopian fiction
The Handmaid's Tale,tiene_categoría,Dystopias
The Handmaid's Tale,tiene_categoría,fantasy fiction
The Handmaid's Tale,tiene_categoría,Fiction
The Handmaid's Tale,tiene_categoría,"Fiction, dystopian"
Roughing it in the bush,tiene_categoría,Biography
Roughing it in the bush,tiene_categoría,Description and travel
Roughing it in the bush,tiene_categoría,Frontier and pioneer life
Roughing it in the bush,tiene_categoría,Pioneers
