author
Álvaro Abós
Carlos Abrevaya
Jorge Luis Acha
César Isidro Actis Bru
Reinaldo Agosteguis
Alejandro Agostinelli
Frank Agostino
Constante José Aguer
Eduardo Agüero Mackern
Zacarías Agüero Vera
Milton Aguilar
Osvaldo Aguirre
Sergio Aguirre (escritor argentino)
Omar Aladio
Cristian Alarcón Casanova
Daniel Alcoba
Pedro Salvador Alé
Jorge Altamira
Rodolfo A. Álvarez
Mario Amadeo
José Amícola
Eduardo Anguita (periodista)
Nimio de Anquín
Julio Ardiles Gray
Osvaldo Ardizzone
Lucas Braulio Areco
Juan Antonio Argerich Elizalde
Antonio Argerich
Horacio Armani
Francisco Arrúa
Raúl Astor
Carlos Astrada
Roberto Aulés
Laura Ávila
Carlos Hugo Aztarain
Adriana Ballesteros
Vicente Barbieri
Pedro Luis Barcia
Leónidas Barletta
Tomás Barna
Jorge Barón Biza
Raúl Barón Biza
Jorge Barraza
Oscar Osvaldo Barros
Yerahmiel Barylka
Vicente Battista
Ángel J. Battistessa
Eduardo Belgrano Rawson
Rodolfo Bellani
León Benarós
Salvador Benesdra
Emilia Bertolé
Claudio Bertonatti
Federico Bianchini
Santiago Bilinkis
Isidoro Blaisten
Domingo Boari
Paula Bombara
Ángel Bonomini
Mateo Booz
Gonzalo Bosch
Rodolfo Braceli
Aldo Brunelli Ventura
Alberto Buela
Graciela Cabal
Cachilo (poeta)
Max Cachimba
Ricardo Caillet-Bois
Matías Calandrelli
Álvaro Martín Calderón
Daniel Calmels
Arturo Cancela
Alberto María Candioti
Arturo Capdevila
Juan José Caruso
Domingo Salvador Castagna
Leonardo Castellani
Jacinto Martín Castillo
Ernesto L. Castro
Mariano Caucino
Higinio Cazón
Andrés Chabrillón
Atilio Chiappori
Florencio Chiarello
Osiris Chierico
Marcelo Cohen
Daniel Colombo
Félix Coluccio
Julio Cortázar
Roberto Cortés Conde
Maximiliano Gerardo Crespi
Dardo Cúneo
Florian Czarnyszewicz
Émile Honoré Daireaux
Gabriela Dalla-Corte
Juan Damonte
Eduardo D'Anna
Omar Néstor De Nápoli
Hugo del Rosso
Sergio Delgado (escritor)
Josefina Delgado
Antonio Di Benedetto
Luis Di Filippo
Jorge Di Paola
Alina Diaconú
Antonio Ángel Díaz
Sabetay Djaen
Ariel Dorfman
Aldo Duzdevich
Francisco Erize
Diego Erlan
Máximo Etchecopar
Mariano Fazio Fernández
Sergio Federovisky
Salvador Ferla
Jorge Fernández Díaz (escritor)
María Teresa Ferrari
Andrés Ferreyra
León Federico Fiel
Hugo Foguet
Roberto Fontanarrosa
Raúl Fortín
Luis Franco
Juan Carlos Frugone
Raúl Galán
Mariano Gambier
Jorge García Badaracco
Martín García Mérou
Germán García
Eduardo Giorlandini
Samuel Glusberg
José Gobello
Eduardo Goligorsky
Ramón Gómez de la Serna
Bernardo González Arrili
Betina González
Andrew Graham-Yooll
Eduardo Gudiño Kieffer
Luis Gudiño Krámer
Jorge Gumier Maier
Gusti
Guillermo Helbling
Juan José Hernández (escritor)
Ataliva Herrera
Alberto Hidalgo
Juan Hilarión Lenzi
Marcela Iacub
Cristina Iglesia
Moisés Isaakovich Kantor
Alí Mohamed Issa
Paco Jamandreu
Lewis Jones
Carlos Juárez Aldazábal
Máximo José Kahn
Malatios Khouri
Ricardo Kirschbaum
Elías Konsol
La Carpa (grupo literario)
Alberto Laiseca
Alejandro Lanoël
Milton Läufer
Julio José Leite
Charles Lescat
Arnoldo Liberman Stilman
Mauro Libertella
Manuel Lizondo Borda
Julio Llinás
Estanislao Lluesma Uranga
Omar López Mato
Julián López (escritor)
Fernando Lorenzo (escritor)
Jorge Elías Luján
José Ramón Luna
Enrique Lynch
Homero Manzi
Roberto Mariani (escritor)
José Martínez Olivares
Luis Guillermo Martínez Villada
Benigno T. Martínez
Guillermo Martínez (escritor)
Leonardo Martínez
Sebastián Martínez Daniell
José Nicolás Matienzo
Juan Carlos Mauri
Julio Mauricio
Miguel Mazzeo
Enrique Medina
Vicente Medina
Mamerto Menapace
Carlos Alberto Merlino
Emilio Mignone
Leonardo Moledo
Daniel Molina
Enrique Molina (poeta)
José María Monner Sans
Carlos Monsalve
