author
Jorge Enrique Adoum
Teresa Alavedra y Tama
Víctor Manuel Albornoz
Miguel Ángel Albornoz
Temístocles José Araúz Rojas
César E. Arroyo
Fernando Artieda
Pedro Isaac Barreiro
Isaac J. Barrera
Pedro Bedón
Paco Benavides
Alberto Borges
César Borja Lavayen
José Rafael Bustamante
Vicente Cabrera Funes
José Antonio Campos
Alejo Capelo
Mauro Javier Cárdenas
Carlos Carrera Barreto
Alejandro Carrión
Wilson René Castillo Tapia
Pedro Fermín Cevallos
Ángel Polibio Chaves
Modesto Chávez Franco
Miguel Antonio Chávez
Luis Chiriboga Izquierdo
Luis Cordero Crespo
Octavio Cordero Palacios
Mary Corylé
Diego Cornejo Menacho
Luis Alberto Costales
Diógenes Cuero
Agustín Cueva
César Dávila (sacerdote)
Ricardo Descalzi
Jaime Durán Barba
Eugenio Espejo
Victor Emilio Estrada
Luis Fierro
Luis Enrique Fierro
Edgar Freire Rubio
Galo Galarza Dávila
Agustín García Banderas
Severo Gomezjurado
Mercedes González de Moscoso
Pablo Herrera González
Telmo Herrera
Horacio Hidrovo
Horacio Hidrovo Velásquez
Honorato Vásquez
Francisco Illingworth
Jhonny Obando
Fernando Jurado Noboa
Lenin Lara
Luis A. León Vinueza
Antonio Lloret Bastidas
Wilfrido Loor Moreira
Diego Maenza
Manuel José Proaño
Luis Alfredo Martínez
Juan León Mera
Raymond Mériguet
Miguel Molina Díaz
Lenín Moreno
Manuel Belisario Moreno
José Buenaventura Navas
Mario Navas Jiménez
Ernesto Noboa y Caamaño
Jorge Núñez Sánchez
Iván Oñate
Hugo Ordóñez Espinosa
Ricardo Paredes Romero
Wenceslao Pareja y Pareja
Edison Gabriel Paucar
Pedro de la Cadena
José Peralta Serrano
Alfredo Pérez Guerrero
Francisco Pérez Febres-Cordero
Miguel Ángel Puga
Gonzalo Ramón
Alfonso Reece
Pedro Reino
Óscar Efrén Reyes
Edmundo Ribadeneira
Jorge Ribadeneira
Vladimiro Rivas
David Rodas Maldonado
Hernán Rodríguez Castelo
Juan Manuel Rodríguez López
Jaime Rodríguez Ordóñez
Marco Antonio Rodríguez (escritor)
Fernando Rohn Bautista
Ángel Felicísimo Rojas
Marco Vinicio Rueda
Alfonso Rumazo González
José Rumazo González
Pedro Saad Herrería
César Salcedo Parrales
Jorge Salvador Lara
Ramón Samaniego Palacio
Manuel María Sánchez
Antonio Santos
Medardo Ángel Silva
Amilcar Tapia Tamayo
Julio Tobar Donoso
Carlos R. Tobar
Ricardo Torres Gavela
Iván Ulchur
Leonardo Valencia (escritor)
Jorge Vanegas Muñoz
Efraín Villacís
Manuel Vivanco Riofrío
Gonzalo Zaldumbide
Julio Zaldumbide
