categoria,categoria_amplia
Venezuelan poetry,Poesía
Spain -- Poetry,Poesía
Economic conditions,No es categoria
Violence,No es categoria
General,No es categoria
People & Places - Central & South America,No es categoria
Juvenile Fiction,Infantil / Juvenil
Children's 9-12 - Fiction - General,Infantil / Juvenil
Spanish: Grades 2-3,Educación
Violence -- Venezuela,No es categoria
Venezuela -- Economic conditions -- 1918-,No es categoria
"Araujo, Orlando, 1928- -- Travel -- Nicaragua -- San Sebastián de Yalí.",Viajes
"Authors, Venezuelan -- 20th century -- Travel -- Nicaragua -- San Sebastián de Yalí.",Viajes
San Sebastián de Yalí (Nicaragua) -- Description and travel,Viajes
Motion pictures,Arte
History,Historia
Independent films,Arte
Documentary films,Arte
"Universidad de los Andes (Mérida, Venezuela)",No es categoria
History and criticism,Literatura / Estudios literarios
Peruvian poetry,Poesía
Spanish American poetry,Poesía
Latin American Science fiction,Ficción
Latin American Short stories,Cuento
Latin American fiction,Novela
Fiction - General,Ficción
Non-Classifiable,No es categoria
Spanish: Adult Nonfiction,No es categoria
Prohibited books,No es categoria
Libraries,No es categoria
Libraries and state,No es categoria
Censorship,No es categoria
Destruction and pillage,No es categoria
Flash fiction,Cuento
Venezuelan Short stories,Cuento
Venezuelan fiction,Novela
Cyberspace,No es categoria
Literature and the Internet,Literatura / Estudios literarios
Spanish language,Lengua / Lingüística
Venezuelan fiction -- Male authors -- History and criticism.,Literatura / Estudios literarios
Venezuelan fiction -- 20th century -- History and criticism.,Literatura / Estudios literarios
Men in literature.,No es categoria
Translations into Italian,No es categoria
Action & Adventure - General,Ficción
Spanish: Grades 1-2,Educación
Venezuelan fiction -- 19th century -- History and criticism,Literatura / Estudios literarios
Venezuelan fiction -- 20th century -- History and criticism,Literatura / Estudios literarios
MERCOSUR (Organization),No es categoria
European Union -- Latin America,No es categoria
Southern Cone of South America -- Foreign economic relations -- European Union countries,Economía
European Union countries -- Foreign economic relations -- Southern Cone of South America,Economía
Venezuelan literature,Literatura / Estudios literarios
Local History,Historia
Genealogy,No es categoria
Indians of South America,No es categoria
Biography,Biografía / Autobiografía / Memorias
Blacks,No es categoria
Civilization,No es categoria
Life,No es categoria
Miscellanea,No es categoria
Venezuelan wit and humor,No es categoria
Nationalism,No es categoria
Venezuelan National characteristics,No es categoria
Venezuelan essays,Ensayo
Press and politics,Comunicación
Politics and government,Política
"Assassination attempt, 2004",No es categoria
"Quotations, maxims",No es categoria
Political and social views,Política
Socialism -- Venezuela,Política
Socialism,Política
Venezuela -- Politics and government -- 1999-,Política
Mass media policy -- Venezuela.,Comunicación
Mass media -- Political aspects -- Venezuela.,Comunicación
Mass media -- Moral and ethical aspects -- Venezuela.,Comunicación
Social history -- 1970-,Historia
Postmodernism.,Filosofía
Popular culture.,Sociología
Popular culture -- United States.,Sociología
Imperialism.,Política
Latin American literature -- History and criticism.,Literatura / Estudios literarios
Press and politics -- Venezuela -- History -- 20th century.,Comunicación
Venezuela -- Politics and government -- 20th century.,Política
Mass media,Comunicación
Spanish poetry -- 20th century.,Poesía
Spanish poetry -- 21st century.,Poesía
"Caballero Bonald, José Manuel, 1926- -- Fiction.",Novela
Nadaísmo (Literary movement),Literatura / Estudios literarios
Colombian literature,Literatura / Estudios literarios
Techo de la Ballena (Literary group),Literatura / Estudios literarios
Democracy,Política
Sources,No es categoria
Social conditions,Sociología
Influence,No es categoria
Gastronomy,Gastronomía
Gourmets,Gastronomía
Gastronomy in literature,No es categoria
Democracy -- Venezuela -- History,Política
"Bolívar, Simón, -- 1783-1830 -- Influence.",No es categoria
Democracy -- Venezuela -- History.,Política
Venezuela -- Politics and government -- 1830-,Política
Latin America -- History.,Historia
Venezuela -- History.,Historia
Venezuela -- History -- 1810-,Historia
Venezuela -- Social conditions,Sociología
"Carrera Damas, Germán -- Interviews",Biografía / Autobiografía / Memorias
"Chávez Frías, Hugo",No es categoria
Venezuela -- History -- 1999-,Historia
Petroleum in literature.,No es categoria
Folklore,No es categoria
"Ponce de León, Juan, -- 1460?-1521 -- Poetry.",Poesía
Criticism and interpretation,Literatura / Estudios literarios
20th century,No es categoria
Relations,No es categoria
United States,No es categoria
Panama,No es categoria
Military policy,Política
Editors,No es categoria
Guerrillas,No es categoria
Fiction,Ficción
Revolutions,No es categoria
Révolutions,No es categoria
"Romans, nouvelles",Novela
