primera pregunta,segunda pregunta
A qué categoría pertenece la obra Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente?,"Estas son las categorias a las que pertenece la obra: Infantil / Juvenil, Educación. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Pascua?,Estas son las categorias a las que pertenece la obra: Novela. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Inventario Uno - 1976-1985 - Con CD?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Templos sagrados de Machupiqchu?,"Estas son las categorias a las que pertenece la obra: Historia, Religión. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Peruanos de ficción?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La Argentina agropecuaria?,"Estas son las categorias a las que pertenece la obra: Economía, Política. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Su casa es mi casa?,"Estas son las categorias a las que pertenece la obra: Ficción, Novela. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Los Chachapoyas?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra El diálogo infinito?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La espiral incesante?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra El río y el mar?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra El chavismo como problema?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Ballenas?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Elaboracion del Proyecto Educativo Institucional?,"Estas son las categorias a las que pertenece la obra: Filosofía, Educación. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Desconfianza infinita?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
"A qué categoría pertenece la obra Huilensidad, homenaje a los dos grandes maestros líricos?","Estas son las categorias a las que pertenece la obra: Sociología, Viajes. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Las dos patrias?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La carcel?,"Estas son las categorias a las que pertenece la obra: Ficción, Novela, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no."
"A qué categoría pertenece la obra Poesia, De Sobremesa?","Estas son las categorias a las que pertenece la obra: Poesía, Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Las reglas del amor?,Estas son las categorias a las que pertenece la obra: Psicología. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Reflexiones Para La Cuaresma?,"Estas son las categorias a las que pertenece la obra: Historia, Religión. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Los orígenes fundacionales de la villa de San Cristóbal y el antiguo corregimiento de Tunja?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La leyenda insurgente?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra País de salida?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra García Márquez?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La sombra?,"Estas son las categorias a las que pertenece la obra: Ficción, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Estudios de felicidad?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Por que seguir creyendo?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Leopardo al sol?,"Estas son las categorias a las que pertenece la obra: Novela, Ficción. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Pacheco?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
"A qué categoría pertenece la obra Reloj no marques las horas, haz esta noche perpetua 1965-2014?",Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Siempre en el camino?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra El Negro de Paris?,Estas son las categorias a las que pertenece la obra: Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Cantos de la man ana?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Los Poetas En La Republica Del Poder?,Estas son las categorias a las que pertenece la obra: Educación. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La experiencia tupamara?,"Estas son las categorias a las que pertenece la obra: Historia, Política. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra El manuscrito de Huarochirí?,"Estas son las categorias a las que pertenece la obra: Religión, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Otros Tiempos?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.
"A qué categoría pertenece la obra Seúl, São Paulo?",Estas son las categorias a las que pertenece la obra: Novela. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La guerra (asimétrica) de Chávez?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Ilustración y emancipación en América Latina?,"Estas son las categorias a las que pertenece la obra: Sociología, Filosofía, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Dona Pinones (Coleccion Rimas Y Adivinanzas)?,"Estas son las categorias a las que pertenece la obra: Educación, Ficción, Infantil / Juvenil, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Letras robadas?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Ficción, Lengua / Lingüística, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Ruperto Insiste!! - Nuevas Aventuras de Un Sapo Detective?,"Estas son las categorias a las que pertenece la obra: Cuento, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Por Fin Solos / At Last Alone?,Estas son las categorias a las que pertenece la obra: Ficción. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Fernando Botero?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Arte, Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Chile a ciegas?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Correspondencia entre José María Arguedas y Juan Mejía Baca en la Biblioteca Nacional?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Querido Pedro?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Los olvidados del bicentenario?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Los Inkas?,"Estas son las categorias a las que pertenece la obra: Historia, Sociología. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Oficio De Cartgrafo (Sociologia)?,Estas son las categorias a las que pertenece la obra: Sociología. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Norberto Bobbio?,"Estas son las categorias a las que pertenece la obra: Política, Filosofía. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Mapa de un engaño?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra El país de la sopa dura?,Estas son las categorias a las que pertenece la obra: Sociología. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Diálogos del porvenir?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Emilia Bertolé?,Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Costado indio?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Poesía. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Un Viejo Que Leia Novelas de Amor?,Estas son las categorias a las que pertenece la obra: Ficción. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Los muros del silencio?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La Flor de Lis with CD (Audio)?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Bolivia?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Sociología, Política, Economía. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra El Romancero sefardí de Máximo José Kahn?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.
