source,relation,target
Álvaro Abós,es de nacionalidad,argentina
Álvaro Abós,es autor de la obra,Eichmann en Argentina
Carlos Abrevaya,es de nacionalidad,argentina
Alejandro Agostinelli,es de nacionalidad,argentina
Alejandro Agostinelli,es autor de la obra,Invasores
Frank Agostino,es de nacionalidad,argentina
Frank Agostino,es autor de la obra,Ms All Del Universo
Eduardo Agüero Mackern,es de nacionalidad,argentina
Eduardo Agüero Mackern,es autor de la obra,Giuseppe Peano
Eduardo Agüero Mackern,es autor de la obra,Los FilÓsofos y Sus Preguntas
Eduardo Agüero Mackern,es autor de la obra,Pregunta Por el Sentido
Zacarías Agüero Vera,es de nacionalidad,argentina
Milton Aguilar,es de nacionalidad,argentina
Osvaldo Aguirre,es de nacionalidad,argentina
Osvaldo Aguirre,es autor de la obra,Enigmas de la crónica policial
Osvaldo Aguirre,es autor de la obra,Territorio de resistencia
Osvaldo Aguirre,es autor de la obra,La vanguardia perdida
Osvaldo Aguirre,es autor de la obra,1864
Osvaldo Aguirre,es autor de la obra,El campo
Osvaldo Aguirre,es autor de la obra,Hablados por la poesía
Osvaldo Aguirre,es autor de la obra,El crimen perfecto
Osvaldo Aguirre,es autor de la obra,La oscuridad dentro de mí
Osvaldo Aguirre,es autor de la obra,Tierra en el aire
Osvaldo Aguirre,es autor de la obra,El novato
Osvaldo Aguirre,es autor de la obra,Francisco Urondo
Osvaldo Aguirre,es autor de la obra,Leyenda negra
Osvaldo Aguirre,es autor de la obra,Lengua natal
Osvaldo Aguirre,es autor de la obra,Setecientosmonos
Osvaldo Aguirre,es autor de la obra,Escuela de detectives
Osvaldo Aguirre,es autor de la obra,Graffiti ninja
Osvaldo Aguirre,es autor de la obra,Oratorio Morante
Osvaldo Aguirre,es autor de la obra,Como si fuera hoy
Osvaldo Aguirre,es autor de la obra,El año del dragón y otros relatos
Osvaldo Aguirre,es autor de la obra,La selección argentina
Osvaldo Aguirre,es autor de la obra,Todos mienten
Osvaldo Aguirre,es autor de la obra,La conexión latina
Osvaldo Aguirre,es autor de la obra,La Deriva (Ficciones)
Osvaldo Aguirre,es autor de la obra,Los indeseables
Osvaldo Aguirre,es autor de la obra,Rocanrol
Osvaldo Aguirre,es autor de la obra,Estrella del Norte
Osvaldo Aguirre,es autor de la obra,Campo Albornoz
