source,relation,target
Iván Aguilar Murguía,es de nacionalidad,boliviana
Nataniel Aguirre,es de nacionalidad,boliviana
Nataniel Aguirre,es autor de la obra,Juan de la Rosa
Joaquín Aguirre Lavayén,es de nacionalidad,boliviana
Abel Alarcón,es de nacionalidad,boliviana
Óscar Alfaro,es de nacionalidad,boliviana
Sebastián Antezana,es de nacionalidad,boliviana
Sebastián Antezana,es autor de la obra,El amor según
Nicanor Aranzáes,es de nacionalidad,boliviana
Víctor Hugo Arévalo Jordán,es de nacionalidad,boliviana
Mariano Baptista Gumucio,es de nacionalidad,boliviana
Mariano Baptista Gumucio,es autor de la obra,Atrevámonos a ser bolivianos
Mariano Baptista Gumucio,es autor de la obra,Por la libertad y la cultura
Mariano Baptista Gumucio,es autor de la obra,Cecilio Guzmán de Rojas
Mariano Baptista Gumucio,es autor de la obra,Pando y la Amazonia boliviana
Mariano Baptista Gumucio,es autor de la obra,Beni - Moxos
Mariano Baptista Gumucio,es autor de la obra,Tarija
Mariano Baptista Gumucio,es autor de la obra,"Busch, la flecha incendiaria"
Mariano Baptista Gumucio,es autor de la obra,Cochabamba
Mariano Baptista Gumucio,es autor de la obra,La ciudad de Potosí vista por viajeros y autores nacionales del siglo XVI al XXI
Mariano Baptista Gumucio,es autor de la obra,Biografía del Palacio Quemado
Mariano Baptista Gumucio,es autor de la obra,La ciudad de Sucre
Mariano Baptista Gumucio,es autor de la obra,Oruro
René Bascopé,es de nacionalidad,boliviana
Rogers Becerra Casanovas,es de nacionalidad,boliviana
Juan Francisco Bedregal,es de nacionalidad,boliviana
Luis Ramiro Beltrán,es de nacionalidad,boliviana
Luis Ramiro Beltrán,es autor de la obra,"Comunicación, política y desarrollo"
Luis Ramiro Beltrán,es autor de la obra,"Comunicología de la liberación, desarrollismo y políticas públicas"
Luis Ramiro Beltrán,es autor de la obra,Investigación sobre comunicación en Latinoamérica
Luis Ramiro Beltrán,es autor de la obra,Mis primeros 25 años
Arturo Borda,es de nacionalidad,boliviana
Arturo Borda,es autor de la obra,Telón lento
Raúl Botelho Gosálvez,es de nacionalidad,boliviana
Raúl Botelho Gosálvez,es autor de la obra,"Ventura, aventura y desventura de Raúl Botelho Gosálvez"
Manuel María Caballero,es de nacionalidad,boliviana
Fernando Cajías,es de nacionalidad,boliviana
Fernando Cajías,es autor de la obra,"Chile-Bolivia, Bolivia-Chile, 1820-1930"
Fernando Cajías,es autor de la obra,Entrada Folklórica Universitaria
Octavio Campero Echazú,es de nacionalidad,boliviana
Daniel Campos,es de nacionalidad,boliviana
Daniel Campos,es autor de la obra,La agroecología
Daniel Campos,es autor de la obra,Fin de Las Multinacionales
Daniel Campos,es autor de la obra,Sino Peripatético
Daniel Campos,es autor de la obra,Competencia Interpretativa en Los Intérpretes No Profesionales en Contextos Cristianos en Lima Metropolitana
Daniel Campos,es autor de la obra,Joven para Siempre - Descubre la Llame Del Antienvejecimiento 
Carlos Castañón Barrientos,es de nacionalidad,boliviana
Amadeo Castro,es de nacionalidad,boliviana
Augusto Céspedes,es de nacionalidad,boliviana
Augusto Céspedes,es autor de la obra,Los diez mejores cuentos de la literatura boliviana
Augusto Céspedes,es autor de la obra,Bolivia
Augusto Céspedes,es autor de la obra,Sangre de mestizos
Benjamín Chávez,es de nacionalidad,boliviana
Benjamín Chávez,es autor de la obra,Primer salida
Benjamín Chávez,es autor de la obra,Para alguna vez cuando oscurece
Armando Chirveches,es de nacionalidad,boliviana
Braulio Choque,es de nacionalidad,boliviana
Rolando Costa,es de nacionalidad,boliviana
Rolando Costa,es autor de la obra,Helechos
Adolfo Costa Du Rels,es de nacionalidad,boliviana
Julio Díaz,es de nacionalidad,boliviana
Julio Díaz,es autor de la obra,Notas Económicas con Julio Díaz
