source,relation,target
Jenaro Abasolo,es de nacionalidad,chilena
Rodrigo Aburto Oróstegui,es de nacionalidad,chilena
Fernando Alegría,es de nacionalidad,chilena
Fernando Alegría,es autor de la obra,Lautaro - Joven Libertador de Arauco
Juan Rafael Allende,es de nacionalidad,chilena
Felipe Alliende,es de nacionalidad,chilena
Felipe Alliende,es autor de la obra,Comprension de La Lectura 3
Felipe Alliende,es autor de la obra,Fichas de Lengua y Lectura Comprensiva 3
Miguel Luis Amunátegui,es de nacionalidad,chilena
Ángeles Lasso,es de nacionalidad,chilena
Jaime Antúnez Aldunate,es de nacionalidad,chilena
Jaime Antúnez Aldunate,es autor de la obra,Filosofía de la historia en Christopher Dawson
Baldo Araya Uribe,es de nacionalidad,chilena
René Arcos,es de nacionalidad,chilena
Braulio Arenas,es de nacionalidad,chilena
Diego Arias de Saavedra,es de nacionalidad,chilena
Manuel Astica,es de nacionalidad,chilena
Manuel Astica,es autor de la obra,Thimor
Guillermo Atías,es de nacionalidad,chilena
Pablo Azócar,es de nacionalidad,chilena
Pablo Azócar,es autor de la obra,"Plebiscito en Chile, 1988"
Pablo Azócar,es autor de la obra,El placer de los demás
Rubén Azócar,es de nacionalidad,chilena
Sergio Badilla Castillo,es de nacionalidad,chilena
Mario Banic,es de nacionalidad,chilena
Jorge Baradit,es de nacionalidad,chilena
Jorge Baradit,es autor de la obra,Ygdrasil
Jorge Baradit,es autor de la obra,Kalfukura
Jorge Baradit,es autor de la obra,Chile
Jorge Baradit,es autor de la obra,La guerra interior
Jorge Baradit,es autor de la obra,Héroes
Jorge Baradit,es autor de la obra,La dictadura
Jorge Baradit,es autor de la obra,Héroes 2
Jorge Baradit,es autor de la obra,Rebelión
Jorge Baradit,es autor de la obra,Synco
Jorge Baradit,es autor de la obra,Synco
Joaquín Barañao,es de nacionalidad,chilena
Josefa Barraza,es de nacionalidad,chilena
Josefa Barraza,es autor de la obra,Los intramarchas
Julio Barrenechea,es de nacionalidad,chilena
Óscar Barrientos,es de nacionalidad,chilena
Diego Barros Arana,es de nacionalidad,chilena
Diego Barros Arana,es autor de la obra,"Historia Jeneral de Chile, Volume 8..."
Diego Barros Arana,es autor de la obra,Historia Jeneral de Chile; Volume 13
Diego Barros Arana,es autor de la obra,Historia General de la Independencia de Chile; Volume 3
Diego Barros Arana,es autor de la obra,"Compendio de Historia de America, Volumes 1-2"
Diego Barros Arana,es autor de la obra,Historia Jeneral de Chile; Volume 16
Diego Barros Arana,es autor de la obra,Historia General de la Independencia de Chile; Volume 4
Diego Barros Arana,es autor de la obra,Historia General de la Independencia de Chile; Volume 2
Diego Barros Arana,es autor de la obra,Historia Jeneral de Chile; Volume 14
Diego Barros Arana,es autor de la obra,"Historia Jeneral de Chile, Volume 2..."
Diego Barros Arana,es autor de la obra,Obras Completas de Diego Barros Arana ...
Diego Barros Arana,es autor de la obra,Historia General de la Independencia de Chile; Volume 1
Diego Barros Arana,es autor de la obra,Cuestión de límites Entre Chile I la República Arjentina
Diego Barros Arana,es autor de la obra,Doctor Don Rodolfo Amando Philippi
Diego Barros Arana,es autor de la obra,Historia General de Chile IV
Diego Barros Arana,es autor de la obra,Historia General de Chile II
