source,relation,target
Alberto Abello Vives,es de nacionalidad,colombiana
Arturo Álape,es de nacionalidad,colombiana
Arturo Álape,es autor de la obra,Frida Kahlo
Arturo Álape,es autor de la obra,"Manuel Marulanda, Tirofijo"
Arturo Álape,es autor de la obra,El caballo y su sombra
Arturo Álape,es autor de la obra,El cadáver insepulto
Arturo Álape,es autor de la obra,El Caiman sonador
Arturo Álape,es autor de la obra,Tirofijo - Los Sueos y Las Montaas
Arturo Álape,es autor de la obra,Tirofijo
Alberto Ramos Garbiras,es de nacionalidad,colombiana
Alberto Ramos Garbiras,es autor de la obra,"Conflicto interno, fronteras y crisis diplomática"
Alberto Ramos Garbiras,es autor de la obra,"Terrorismo, globalización y Estados-Nación"
Alberto Ramos Garbiras,es autor de la obra,Terrorismo internacional y nuevo orden mundial
José María Alemán,es de nacionalidad,colombiana
Jaime Álvarez Gutiérrez,es de nacionalidad,colombiana
Jaime Álvarez Gutiérrez,es autor de la obra,Protocolo Tairona
César Alzate Vargas,es de nacionalidad,colombiana
Manuel Ancízar,es de nacionalidad,colombiana
Manuel de Jesús Andrade Suárez,es de nacionalidad,colombiana
Gustavo Andrade,es de nacionalidad,colombiana
Guillermo Angulo,es de nacionalidad,colombiana
Memo Ánjel,es de nacionalidad,colombiana
Memo Ánjel,es autor de la obra,Abdúl Amán y su mujer Isabel Paredes
Memo Ánjel,es autor de la obra,Todas las salidas del tren
Memo Ánjel,es autor de la obra,La mujer de Ameghino : un inventario enloquecido de Buenos Aires
Memo Ánjel,es autor de la obra,Cuentos judíos. Los viajeros
Memo Ánjel,es autor de la obra,Zürich es una letra álef
Memo Ánjel,es autor de la obra,"Libreta de apuntes de Yehuda Malaji, relojero sefardí"
Jorge Arango Sanín,es de nacionalidad,colombiana
Gonzalo Arango,es de nacionalidad,colombiana
Gonzalo Arango,es autor de la obra,Obra
Gonzalo Arango,es autor de la obra,Dos Antologías Nadaístas
Gonzalo Arango,es autor de la obra,Cartas a Julieta (1950)
Gonzalo Arango,es autor de la obra,Primer manifiesto nadaísta y otros textos
Gustavo Arango,es de nacionalidad,colombiana
Gustavo Arango,es autor de la obra,El país de los árboles locos
Gustavo Arango,es autor de la obra,Criatura perdida
Gustavo Arango,es autor de la obra,Un tal Cortázar
Gustavo Arango,es autor de la obra,El origen del mundo
Gustavo Arango,es autor de la obra,El más absurdo de todos los personajes
José Manuel Arango,es de nacionalidad,colombiana
José Manuel Arango,es autor de la obra,Poesía completa
José Manuel Arango,es autor de la obra,Este lugar de la noche
Henrique Arboleda Cortés,es de nacionalidad,colombiana
Henrique Arboleda Cortés,es autor de la obra,Palonegro...
Triunfo Arciniegas,es de nacionalidad,colombiana
Triunfo Arciniegas,es autor de la obra,Cuentos
Triunfo Arciniegas,es autor de la obra,Dulce animal de compañía
Triunfo Arciniegas,es autor de la obra,Mujeres muertas de amor
Triunfo Arciniegas,es autor de la obra,Letras robadas
Triunfo Arciniegas,es autor de la obra,El rabo de Paco
Triunfo Arciniegas,es autor de la obra,Noticias de la niebla
Triunfo Arciniegas,es autor de la obra,Señoras y Señores
Triunfo Arciniegas,es autor de la obra,Caperucita roja y otras historias perversas
Triunfo Arciniegas,es autor de la obra,Despues de la Lluvia (Primer Acto: Teatro Infantil y Juvenil)
Triunfo Arciniegas,es autor de la obra,El Jardin del Unicornio
Triunfo Arciniegas,es autor de la obra,El Leon Que Escribia Cartas de Amor
Triunfo Arciniegas,es autor de la obra,El leon que escribia cartas de amor (Colección OA)
Triunfo Arciniegas,es autor de la obra,El Pirata Pata de Palo (Primer Acto: Teatro Infantil y Juvenil) (Primer Acto: Teatro Infantil y Juvenil)
Triunfo Arciniegas,es autor de la obra,El Super burro y otros heroes
Triunfo Arciniegas,es autor de la obra,El Vampiro Y Otra Visitas/the Vampier And Other Visits
Triunfo Arciniegas,es autor de la obra,Girar (Cuentos Portatiles)
Triunfo Arciniegas,es autor de la obra,La caja de las lagrimas
Triunfo Arciniegas,es autor de la obra,La Gota de Agua (Que Pase el Tren) (Que Pase el Tren)
Triunfo Arciniegas,es autor de la obra,La media perdida
Triunfo Arciniegas,es autor de la obra,La Muchacha de Transilvania
Triunfo Arciniegas,es autor de la obra,La Silla que Perdio una Pata
Triunfo Arciniegas,es autor de la obra,Los Casabandidos Que Casi Roban El Sol
Triunfo Arciniegas,es autor de la obra,Los Casibandidos Que Casi Roban El Sol
Triunfo Arciniegas,es autor de la obra,Los olvidos de Alejandra
Triunfo Arciniegas,es autor de la obra,Lucy es pecosa (Primer Acto: Teatro Infantil y Juvenil) (Primer Acto: Teatro Infantil y Juvenil)
Triunfo Arciniegas,es autor de la obra,Mama No es una Gallina
Triunfo Arciniegas,es autor de la obra,Mambru se Fue a la Guerra (Primer Acto: Teatro Infantil y Juvenil)
Triunfo Arciniegas,es autor de la obra,Pecas
Triunfo Arciniegas,es autor de la obra,Roberto Esta Loco/roberto Is Crazy
Triunfo Arciniegas,es autor de la obra,SerafÃ­n es un diablo
Triunfo Arciniegas,es autor de la obra,Tres tristes tigres / Three Sad Tigers (Colección Bilingue) (Bilingual Colection)
Triunfo Arciniegas,es autor de la obra,Vaca de Octavio: La y La-araña sube al monte (Primer Acto: Teatro Infantil y Juvenil)
Triunfo Arciniegas,es autor de la obra,"Vampiro y Otras Visitas, El"
Triunfo Arciniegas,es autor de la obra,Yo Claudia (Castillo de la Lectura Preschool)
Jaime Ardila Casamitjana,es de nacionalidad,colombiana
Jaime Ardila Casamitjana,es autor de la obra,Las manzanas del paraíso
Jaime Ardila Casamitjana,es autor de la obra,Babel
Milcíades Arévalo,es de nacionalidad,colombiana
Justo Arosemena,es de nacionalidad,colombiana
Justo Arosemena,es autor de la obra,"Justo Arosemena, manuscritos y vivencias"
Justo Arosemena,es autor de la obra,La cuestión americana
Diógenes Arrieta,es de nacionalidad,colombiana
José Arteaga,es de nacionalidad,colombiana
Jorge Artel,es de nacionalidad,colombiana
Jorge Artel,es autor de la obra,De la vida que pasa
Aurelio Arturo,es de nacionalidad,colombiana
Aurelio Arturo,es autor de la obra,Morada al sur
Rafael Azula,es de nacionalidad,colombiana
Ramón Illán Bacca,es de nacionalidad,colombiana
Ramón Illán Bacca,es autor de la obra,Primeras impresiones
Ramón Illán Bacca,es autor de la obra,Había una vez en Barranquilla
Ramón Illán Bacca,es autor de la obra,Cómo llegar a ser japonés
Ramón Illán Bacca,es autor de la obra,Deborah Kruel
Ramón Illán Bacca,es autor de la obra,Crónicas casi históricas
Ramón Illán Bacca,es autor de la obra,Escribir en Barranquilla
Rafael Ballén,es de nacionalidad,colombiana
Francisco Barbosa,es de nacionalidad,colombiana
Edgar Bastidas Urresty,es de nacionalidad,colombiana
Edgar Bastidas Urresty,es autor de la obra,Torquemada en el infierno
Edgar Bastidas Urresty,es autor de la obra,Las guerras de Pasto
Manolo Bellon,es de nacionalidad,colombiana
Manolo Bellon,es autor de la obra,The Beatles
Jorge Bendeck Olivella,es de nacionalidad,colombiana
Raúl Benoit,es de nacionalidad,colombiana
Raúl Benoit,es autor de la obra,#ConSentidoComun 2
Raúl Benoit,es autor de la obra,#ConSentidoComun 2 (Version en Color)
Raúl Benoit,es autor de la obra,#ConSentidoComún
Raúl Benoit,es autor de la obra,Prohibido decir toda la Verdad
Leopoldo Berdella de la Espriella,es de nacionalidad,colombiana
Leopoldo Berdella de la Espriella,es autor de la obra,Koku-yó mensajero del sol
Fernando Bermúdez Ardila,es de nacionalidad,colombiana
Fernando Bermúdez Ardila,es autor de la obra,El Dorado en el Amazonas
Jaime Betancur Cuartas,es de nacionalidad,colombiana
Azriel Bibliowicz,es de nacionalidad,colombiana
Azriel Bibliowicz,es autor de la obra,Antología de cuentos
Azriel Bibliowicz,es autor de la obra,Antología de obras de teatro
Azriel Bibliowicz,es autor de la obra,Migas de pan
Azriel Bibliowicz,es autor de la obra,Gustave Flaubert Historia De Una Cama
Mauricio Bonnett,es de nacionalidad,colombiana
Mauricio Bonnett,es autor de la obra,El triunfo de la muerte
Germán Borda,es de nacionalidad,colombiana
Germán Borda,es autor de la obra,Relojero
Darío Botero Uribe,es de nacionalidad,colombiana
Darío Botero Uribe,es autor de la obra,La comunidad política vitalista
Darío Botero Uribe,es autor de la obra,Hermenéutica jurídica
Enrique Buenaventura,es de nacionalidad,colombiana
Enrique Buenaventura,es autor de la obra,Diario de trabajo
Enrique Buenaventura,es autor de la obra,Crónicas y relatos
Roberto Burgos Cantor,es de nacionalidad,colombiana
