source,relation,target
Jorge Enrique Adoum,es de nacionalidad,ecuatoriana
Jorge Enrique Adoum,es autor de la obra,Jorgenrique Adoum
Jorge Enrique Adoum,es autor de la obra,Aproximación a la paraliteratura
Jorge Enrique Adoum,es autor de la obra,Ecuador: Senas particulares
Jorge Enrique Adoum,es autor de la obra,De cerca y de memoria
Jorge Enrique Adoum,es autor de la obra,Jorgenrique Adoum
Jorge Enrique Adoum,es autor de la obra,Poesía hasta hoy
Víctor Manuel Albornoz,es de nacionalidad,ecuatoriana
Miguel Ángel Albornoz,es de nacionalidad,ecuatoriana
César E. Arroyo,es de nacionalidad,ecuatoriana
Fernando Artieda,es de nacionalidad,ecuatoriana
Fernando Artieda,es autor de la obra,Fernando Artieda
Pedro Isaac Barreiro,es de nacionalidad,ecuatoriana
Isaac J. Barrera,es de nacionalidad,ecuatoriana
Paco Benavides,es de nacionalidad,ecuatoriana
Alberto Borges,es de nacionalidad,ecuatoriana
César Borja Lavayen,es de nacionalidad,ecuatoriana
José Rafael Bustamante,es de nacionalidad,ecuatoriana
José Antonio Campos,es de nacionalidad,ecuatoriana
Alejo Capelo,es de nacionalidad,ecuatoriana
Mauro Javier Cárdenas,es de nacionalidad,ecuatoriana
Alejandro Carrión,es de nacionalidad,ecuatoriana
Alejandro Carrión,es autor de la obra,Alejandro Carrión
Pedro Fermín Cevallos,es de nacionalidad,ecuatoriana
Ángel Polibio Chaves,es de nacionalidad,ecuatoriana
Modesto Chávez Franco,es de nacionalidad,ecuatoriana
Miguel Antonio Chávez,es de nacionalidad,ecuatoriana
Miguel Antonio Chávez,es autor de la obra,Círculo vicioso para principiantes
Luis Chiriboga Izquierdo,es de nacionalidad,ecuatoriana
Luis Cordero Crespo,es de nacionalidad,ecuatoriana
Octavio Cordero Palacios,es de nacionalidad,ecuatoriana
Mary Corylé,es de nacionalidad,ecuatoriana
Diego Cornejo Menacho,es de nacionalidad,ecuatoriana
Diego Cornejo Menacho,es autor de la obra,Que se vaya!
Diego Cornejo Menacho,es autor de la obra,Gato por liebre
Diego Cornejo Menacho,es autor de la obra,Nux vómica
Diego Cornejo Menacho,es autor de la obra,Ines Aranda
Diego Cornejo Menacho,es autor de la obra,Las segundas criaturas
Diego Cornejo Menacho,es autor de la obra,Crónica de un delito de blancos
Diego Cornejo Menacho,es autor de la obra,Miércoles y estiércoles
Luis Alberto Costales,es de nacionalidad,ecuatoriana
Diógenes Cuero,es de nacionalidad,ecuatoriana
Diógenes Cuero,es autor de la obra,Las huellas de la Carimba
Diógenes Cuero,es autor de la obra,Me quieren...quitar lo de negro
Agustín Cueva,es de nacionalidad,ecuatoriana
Agustín Cueva,es autor de la obra,Autoritarismo y fascismo en América Latina
Agustín Cueva,es autor de la obra,Ensayos sociológicos y políticos
Agustín Cueva,es autor de la obra,Agustín Cueva
Agustín Cueva,es autor de la obra,Entre la ira y la esperanza
Ricardo Descalzi,es de nacionalidad,ecuatoriana
Jaime Durán Barba,es de nacionalidad,ecuatoriana
Eugenio Espejo,es de nacionalidad,ecuatoriana
Eugenio Espejo,es autor de la obra,Cartas y lecturas de Eugenio Espejo
Eugenio Espejo,es autor de la obra,Obras completas
Eugenio Espejo,es autor de la obra,Eugenio Espejo
Eugenio Espejo,es autor de la obra,Juicio a Eugenio Espejo
Victor Emilio Estrada,es de nacionalidad,ecuatoriana
Luis Fierro,es de nacionalidad,ecuatoriana
Luis Enrique Fierro,es de nacionalidad,ecuatoriana
Luis Enrique Fierro,es autor de la obra,Poems
Edgar Freire Rubio,es de nacionalidad,ecuatoriana
Edgar Freire Rubio,es autor de la obra,"Quito Tradiciones, Testimonio Y Nostalgia (Tomo 2)"
Edgar Freire Rubio,es autor de la obra,El derecho y el revés de la memoria
Edgar Freire Rubio,es autor de la obra,Quito
Edgar Freire Rubio,es autor de la obra,"Parias, perdedores y otros antihéroes"
Galo Galarza Dávila,es de nacionalidad,ecuatoriana
Severo Gomezjurado,es de nacionalidad,ecuatoriana
Telmo Herrera,es de nacionalidad,ecuatoriana
Telmo Herrera,es autor de la obra,Papa Murio Hoy/Papa Died Today
Horacio Hidrovo,es de nacionalidad,ecuatoriana
Horacio Hidrovo Velásquez,es de nacionalidad,ecuatoriana
Jhonny Obando,es de nacionalidad,ecuatoriana
Jhonny Obando,es autor de la obra,"Mujeres que sueñan, moldean saberes y fortalecen el buen vivir"
Fernando Jurado Noboa,es de nacionalidad,ecuatoriana
Fernando Jurado Noboa,es autor de la obra,Rincones que cantan
Fernando Jurado Noboa,es autor de la obra,"El conquistador Rodrigo Pérez de Guzmán, o, el reino de la inteligencia"
Fernando Jurado Noboa,es autor de la obra,"Actores de la independencia, datos genealógicos"
Fernando Jurado Noboa,es autor de la obra,"Calles, casas y gente del centro histórico de Quito"
Fernando Jurado Noboa,es autor de la obra,Riobamba
Antonio Lloret Bastidas,es de nacionalidad,ecuatoriana
Diego Maenza,es de nacionalidad,ecuatoriana
Diego Maenza,es autor de la obra,Estructura de la Plegaria
Diego Maenza,es autor de la obra,Bestiario Americano
Diego Maenza,es autor de la obra,Teoría de la Inspiración
Diego Maenza,es autor de la obra,Caricreaturas
Manuel José Proaño,es de nacionalidad,ecuatoriana
Juan León Mera,es de nacionalidad,ecuatoriana
Juan León Mera,es autor de la obra,Cumanda
Juan León Mera,es autor de la obra,Cumandá o Un drama entre salvajes
Raymond Mériguet,es de nacionalidad,ecuatoriana
Raymond Mériguet,es autor de la obra,Théoden
Raymond Mériguet,es autor de la obra,Historia del movimiento antifascista del Ecuador (1941-1944)
Raymond Mériguet,es autor de la obra,Macrogramas
Miguel Molina Díaz,es de nacionalidad,ecuatoriana
Miguel Molina Díaz,es autor de la obra,Cuaderno de la lluvia
Lenín Moreno,es de nacionalidad,ecuatoriana
Manuel Belisario Moreno,es de nacionalidad,ecuatoriana
José Buenaventura Navas,es de nacionalidad,ecuatoriana
José Buenaventura Navas,es autor de la obra,Evolución Social Del Obrero en Guayaquil [1849-1920]
Mario Navas Jiménez,es de nacionalidad,ecuatoriana
Ernesto Noboa y Caamaño,es de nacionalidad,ecuatoriana
Jorge Núñez Sánchez,es de nacionalidad,ecuatoriana
Jorge Núñez Sánchez,es autor de la obra,Un hombre llamado Simón Bolívar
Iván Oñate,es de nacionalidad,ecuatoriana
Iván Oñate,es autor de la obra,El país de las tinieblas
Hugo Ordóñez Espinosa,es de nacionalidad,ecuatoriana
Wenceslao Pareja y Pareja,es de nacionalidad,ecuatoriana
Alfredo Pérez Guerrero,es de nacionalidad,ecuatoriana
Alfredo Pérez Guerrero,es autor de la obra,Ecuador
Francisco Pérez Febres-Cordero,es de nacionalidad,ecuatoriana
Gonzalo Ramón,es de nacionalidad,ecuatoriana
Alfonso Reece,es de nacionalidad,ecuatoriana
Alfonso Reece,es autor de la obra,Todas las aves
Alfonso Reece,es autor de la obra,Morga
Pedro Reino,es de nacionalidad,ecuatoriana
Pedro Reino,es autor de la obra,Controversia sobre las fiestas oficiales centro Andinas
Pedro Reino,es autor de la obra,América: Guitarra de otros verbos
Pedro Reino,es autor de la obra,Indios Mitayos en Hambato Colonial
Pedro Reino,es autor de la obra,Tren a Chuchubamba
Pedro Reino,es autor de la obra,Nido de rifles
Pedro Reino,es autor de la obra,Tenencia de la tierra y remembranza del triunfalismo opresor
Pedro Reino,es autor de la obra,Sustratos etnolingüísticos del Ecuador andino
Pedro Reino,es autor de la obra,El reclinatorio de oro
Pedro Reino,es autor de la obra,Baños de agua santa en las incursiones al Oriente Ecuatoriano
Pedro Reino,es autor de la obra,Mazorra
