source,relation,target
Nunca fue tan claro el amor,fue publicada en el año,2012
Contrapastoral,fue publicada en el año,2014
Poemas de ida y vuelta,fue publicada en el año,2008
Poemas de ida y vuelta,pertenece a la categoria,Venezuelan poetry
Poemas de ida y vuelta,pertenece a la categoria,Spain -- Poetry
Venezuela violenta,fue publicada en el año,2007
Venezuela violenta,pertenece a la categoria,Economic conditions
Venezuela violenta,pertenece a la categoria,Violence
Compañero de viaje y otros relatos,fue publicada en el año,2004
Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente,fue publicada en el año,1996
Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente,pertenece a la categoria,General
Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente,pertenece a la categoria,People & Places - Central & South America
Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente,pertenece a la categoria,Juvenile Fiction
Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente,pertenece a la categoria,Children's 9-12 - Fiction - General
Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente,pertenece a la categoria,Spanish: Grades 2-3
Los Viajes de Miguel Vicente Pata Caliente,fue publicada en el año,1978
Venezuela violenta,fue publicada en el año,1968
Venezuela violenta,pertenece a la categoria,Violence -- Venezuela
Venezuela violenta,pertenece a la categoria,Venezuela -- Economic conditions -- 1918-
Viaje a Sandino,fue publicada en el año,1985
Viaje a Sandino,pertenece a la categoria,"Araujo, Orlando, 1928- -- Travel -- Nicaragua -- San Sebastián de Yalí."
Viaje a Sandino,pertenece a la categoria,"Authors, Venezuelan -- 20th century -- Travel -- Nicaragua -- San Sebastián de Yalí."
Viaje a Sandino,pertenece a la categoria,San Sebastián de Yalí (Nicaragua) -- Description and travel.
Antología de narradores merideños,fue publicada en el año,2014
"Tierra roja, tierra negra",fue publicada en el año,2014
"Mérida, 100 años de cine, 1894-1994",fue publicada en el año,2015
"Mérida, 100 años de cine, 1894-1994",pertenece a la categoria,Motion pictures
"Mérida, 100 años de cine, 1894-1994",pertenece a la categoria,History
"Mérida, 100 años de cine, 1894-1994",pertenece a la categoria,Independent films
"Mérida, 100 años de cine, 1894-1994",pertenece a la categoria,Documentary films
"Mérida, 100 años de cine, 1894-1994",pertenece a la categoria,"Universidad de los Andes (Mérida, Venezuela)"
La pena del cristofué,fue publicada en el año,2011
