source,relation,target
Delfina Acosta,es de nacionalidad,paraguaya
Delfina Acosta,es autor de la obra,Versos para este planeta
Delfina Acosta,es autor de la obra,Versos de amor y de locura
Delfina Acosta,es autor de la obra,Guía del cementerio
Chiquita Barreto,es de nacionalidad,paraguaya
Chiquita Barreto,es autor de la obra,La voz negada
Mónica Bustos,es de nacionalidad,paraguaya
Mónica Bustos,es autor de la obra,Club de Los Que Nunca Duermen
Gladys Carmagnola,es de nacionalidad,paraguaya
Gladys Carmagnola,es autor de la obra,Como si hiciera falta
Gladys Carmagnola,es autor de la obra,Poema de la celebración
Gladys Carmagnola,es autor de la obra,"De lodo, miel y lágrimas?"
Renée Checa,es de nacionalidad,paraguaya
Mabel Coronel Cuenca,es de nacionalidad,paraguaya
Mabel Coronel Cuenca,es autor de la obra,Entre Tintas y Pliego
Mabel Coronel Cuenca,es autor de la obra,Tributo a la Poesía
Mabel Coronel Cuenca,es autor de la obra,Alma en Manos
Mabel Coronel Cuenca,es autor de la obra,Antologia Poetica Internacional Mujeres y Sus Plumas II
Mabel Coronel Cuenca,es autor de la obra,Nueva Vida : Más Allá Del Amor
Mabel Coronel Cuenca,es autor de la obra,Tributo a Delfina Acosta
Mabel Coronel Cuenca,es autor de la obra,Rimas Al Amor
Mabel Coronel Cuenca,es autor de la obra,Antología Poética Internacional Mujeres y Sus Plumas III
Mabel Coronel Cuenca,es autor de la obra,Antologia Poetica Internacional Mujeres y Sus Plumas I
Mabel Coronel Cuenca,es autor de la obra,Espejismos
Mabel Coronel Cuenca,es autor de la obra,Entre Líneas
Mabel Coronel Cuenca,es autor de la obra,Sin Rodeos
Mabel Coronel Cuenca,es autor de la obra,Día Del Poeta Paraguayo
Mabel Coronel Cuenca,es autor de la obra,Namasté
Mabel Coronel Cuenca,es autor de la obra,Vestigios
Susy Delgado,es de nacionalidad,paraguaya
Susy Delgado,es autor de la obra,La voz mediterránea
Susy Delgado,es autor de la obra,Ñé ẽ jovái  =
Lourdes Espínola,es de nacionalidad,paraguaya
Lourdes Espínola,es autor de la obra,Antología poética
Susana Gertopán,es de nacionalidad,paraguaya
Susana Gertopán,es autor de la obra,El guardián de los recuerdos
Susana Gertopán,es autor de la obra,Primera pergunta
Susana Gertopán,es autor de la obra,El fin de la memoria
