source,relation,target
Pablo Abril de Vivero,es de nacionalidad,peruana
Xavier Abril,es de nacionalidad,peruana
José Adolph,es de nacionalidad,peruana
José Adolph,es autor de la obra,José B. Adolph : Cuentos Completos
Augusto Aguirre Morales,es de nacionalidad,peruana
Santiago Agurto,es de nacionalidad,peruana
Luis Alayza y Paz Soldán,es de nacionalidad,peruana
Maynor Freyre,es de nacionalidad,peruana
Maynor Freyre,es autor de la obra,Desmemorias de un pelagatos
Maynor Freyre,es autor de la obra,El poeta que tocaba tambor
Maynor Freyre,es autor de la obra,36 estampas sin bendecir
Maynor Freyre,es autor de la obra,Par de sátrapas
Maynor Freyre,es autor de la obra,Altas voces de la literatura peruana y latinoamericana
Ciro Alegría,es de nacionalidad,peruana
Ciro Alegría,es autor de la obra,El mundo es ancho y ajeno
Ciro Alegría,es autor de la obra,"Mundo Es Ancho y Ajeno, El (Alianza tres)"
Ciro Alegría,es autor de la obra,Sacha En El Reino De Los Arboles
Ciro Alegría,es autor de la obra,Sueño Y Verdad De America
Ciro Alegría,es autor de la obra,El Sol de Los Jaguares
Andrés Alencastre Gutiérrez,es de nacionalidad,peruana
Clemente Althaus,es de nacionalidad,peruana
Clemente Althaus,es autor de la obra,Coralay
Clemente Althaus,es autor de la obra,Poesías
Félix Álvarez Brun,es de nacionalidad,peruana
Carlos Germán Amézaga,es de nacionalidad,peruana
Augusto Alba Herrera,es de nacionalidad,peruana
Augusto Alba Herrera,es autor de la obra,Proceso de inserción del cristianismo en Áncash
Marco Avilés,es de nacionalidad,peruana
Marco Avilés,es autor de la obra,No soy tu cholo
Marco Avilés,es autor de la obra,De dónde venimos los cholos
Marco Avilés,es autor de la obra,Día de visita
Jorge Bacacorzo,es de nacionalidad,peruana
Xavier Bacacorzo,es de nacionalidad,peruana
Francisco Bardales,es de nacionalidad,peruana
Francisco Bardales,es autor de la obra,Iqt
Emilio Barrantes,es de nacionalidad,peruana
Alfonsina Barrionuevo,es de nacionalidad,peruana
Alfonsina Barrionuevo,es autor de la obra,Templos sagrados de Machupiqchu
Alfonsina Barrionuevo,es autor de la obra,Qué dicen los khipus
Alfonsina Barrionuevo,es autor de la obra,Hablando con los apus
Roberto Barrionuevo Navarro,es de nacionalidad,peruana
Aldo Bartra,es de nacionalidad,peruana
Ricardo Bedoya,es de nacionalidad,peruana
Ricardo Bedoya,es autor de la obra,Cines de cuaderno
Ricardo Bedoya,es autor de la obra,El Perú imaginado
Ricardo Bedoya,es autor de la obra,El cine peruano en tiempos digitales
Ricardo Bedoya,es autor de la obra,El cine sonoro en el Perú
Ricardo Bedoya,es autor de la obra,El cine sonoro en el Perú
Ricardo Bedoya,es autor de la obra,El cine silente en el Perú
Héctor Béjar,es de nacionalidad,peruana
Héctor Béjar,es autor de la obra,Crónicas de las luchas campesinas en el Valle de Lurín
Héctor Béjar,es autor de la obra,Mito y utopía
Héctor Béjar,es autor de la obra,Poder mediático
Antonio Belaúnde Moreyra,es de nacionalidad,peruana
Harry Belevan,es de nacionalidad,peruana
Harry Belevan,es autor de la obra,Cuentos de bolsillo
Carlos Germán Belli,es de nacionalidad,peruana
Carlos Germán Belli,es autor de la obra,Canciones del perito en nada
Carlos Germán Belli,es autor de la obra,Miscelánea íntima
Carlos Germán Belli,es autor de la obra,Morar en la superficie
Carlos Germán Belli,es autor de la obra,Expansión sonora
Carlos Germán Belli,es autor de la obra,Éstos que son aquí...
Carlos Germán Belli,es autor de la obra,"Los versos juntos, 1946-2008"
Carlos Germán Belli,es autor de la obra,El alternado paso de los hados
Carlos Germán Belli,es autor de la obra,Los poemas elegidos
Alfonso Benavides Correa,es de nacionalidad,peruana
Jorge Eduardo Benavides,es de nacionalidad,peruana
Jorge Eduardo Benavides,es autor de la obra,La paz de los vencidos
Jorge Eduardo Benavides,es autor de la obra,El enigma del convento
Jorge Eduardo Benavides,es autor de la obra,El AÃ±o Que Rompi Contigo/the Year I Left You
Jorge Eduardo Benavides,es autor de la obra,La Noche de Morgana
Jorge Eduardo Benavides,es autor de la obra,Los años inútiles
Jorge Eduardo Benavides,es autor de la obra,Un millón de soles
Jorge Eduardo Benavides,es autor de la obra,Un millon de soles/ A Million Soles
Jorge Eduardo Benavides,es autor de la obra,Ciudades posibles
José Bermúdez de la Torre y Solier,es de nacionalidad,peruana
Enrique Bernales,es de nacionalidad,peruana
Enrique Bernales,es autor de la obra,Militancia educativa
Enrique Bernales,es autor de la obra,La Constitución de 1993
Ernesto Bonilla del Valle,es de nacionalidad,peruana
Alberto Borea,es de nacionalidad,peruana
Antonio Brack Egg,es de nacionalidad,peruana
Antonio Brack Egg,es autor de la obra,Tejidos enigmáticos de la Amazonía peruana
José Antonio Bravo,es de nacionalidad,peruana
José Antonio Bravo,es autor de la obra,Percanta
José Antonio Bravo,es autor de la obra,Machipharo
Joseph de Buendía,es de nacionalidad,peruana
Hermann Buse de la Guerra,es de nacionalidad,peruana
Manuel Bustamante de la Fuente,es de nacionalidad,peruana
José Antonio del Busto,es de nacionalidad,peruana
José Antonio del Busto,es autor de la obra,Perú incaico
José Antonio del Busto,es autor de la obra,"Túpac Yupanqui, descubridor de Oceanía"
José Antonio del Busto,es autor de la obra,Santa Rosa de Lima (Isabel Flores de Oliva)
José Antonio del Busto,es autor de la obra,Memorias de un historiador
José Antonio del Busto,es autor de la obra,Túpac Yupanqui
José Antonio del Busto,es autor de la obra,La conquista del Perú
José Antonio del Busto,es autor de la obra,La pacificación del Perú
José Antonio del Busto,es autor de la obra,"Pizarro, el marqués gobernador"
José Antonio del Busto,es autor de la obra,Los hijos del sol
José Antonio del Busto,es autor de la obra,Pizarro
José Antonio del Busto,es autor de la obra,Perú Pre-Incaico
Phillip Butters,es de nacionalidad,peruana
Víctor Caballero,es de nacionalidad,peruana
Víctor Caballero,es autor de la obra,El manual del varon infiel
César Calvo de Araújo,es de nacionalidad,peruana
César Calvo,es de nacionalidad,peruana
César Calvo,es autor de la obra,Las tres mitades de Ino Moxo
César Calvo,es autor de la obra,Selección de poemas
César Calvo,es autor de la obra,Pedestal para nadie
Carlos Camino Calderón,es de nacionalidad,peruana
Juan del Campo Rodríguez,es de nacionalidad,peruana
Carlos Hugo Garrido Chalén,es de nacionalidad,peruana
Genaro Carnero Checa,es de nacionalidad,peruana
Luis Carnero Checa,es de nacionalidad,peruana
Guillermo Carnero Hoke,es de nacionalidad,peruana
Germán Carnero Roqué,es de nacionalidad,peruana
María José Caro,es de nacionalidad,peruana
Hugo Carrillo Cavero,es de nacionalidad,peruana
Enrique A. Carrillo,es de nacionalidad,peruana
Alida Castañeda Guerra,es de nacionalidad,peruana
Mario Castro Arenas,es de nacionalidad,peruana
Mario Castro Arenas,es autor de la obra,Autodestrucción de los incas
Mario Castro Arenas,es autor de la obra,Autodestrucción de los incas
Dante Castro Arrasco,es de nacionalidad,peruana
Dante Castro Arrasco,es autor de la obra,Cuando hablan los muertos
Dante Castro Arrasco,es autor de la obra,Demonio del monte y otros cuentos amazónicos
