source,relation,target
Walter «Serrano» Abella,es de nacionalidad,uruguaya
Walter «Serrano» Abella,es autor de la obra,Los muros del silencio
Walter «Serrano» Abella,es autor de la obra,"Martín Aquino, el matrero"
Adolfo Agorio,es de nacionalidad,uruguaya
Julio Aguiar,es de nacionalidad,uruguaya
Gustavo Aguilera,es de nacionalidad,uruguaya
Gustavo Aguilera,es autor de la obra,Crimen y Castigo
Gustavo Aguilera,es autor de la obra,Vuelta Al Mundo en 80 Dias
Gustavo Aguilera,es autor de la obra,Faro Del Fin Del Mundo
Gustavo Aguilera,es autor de la obra,Faro Del Fin Del Mundo (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Olalla (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Diablo de la Botella (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Crimen de Lord Arthur Saville
Gustavo Aguilera,es autor de la obra,Canto General (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Psicologia y Pedagogia (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Dracula (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Espanto en Las Alturas (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Catacumba Nueva (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Mundo Perdido (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Estudio en Escarlata (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Sabueso de Los Baskerville (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Signo de Los Cuatro
Gustavo Aguilera,es autor de la obra,Las Aventuras de Sherlock Holmes (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Mundo Perdido
Gustavo Aguilera,es autor de la obra,Signo de Los Cuatro (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Gato de Brasil
Gustavo Aguilera,es autor de la obra,Cumbres Barrascosas
Gustavo Aguilera,es autor de la obra,Mas Alla Del Bien y Del Mal (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Asi Hablo Zaratustra (Spanish Version)
Gustavo Aguilera,es autor de la obra,Convivio (Spanish Version)
Gustavo Aguilera,es autor de la obra,Licenciado Vidriera (Spanish Edition)
Gustavo Aguilera,es autor de la obra,Gitanilla (Spanish Edition)
