source,relation,target
Cecilio Acosta,es de nacionalidad,venezolana
Harry Almela,es de nacionalidad,venezolana
Harry Almela,es autor de la obra,Nunca fue tan claro el amor
Harry Almela,es autor de la obra,Contrapastoral
Harry Almela,es autor de la obra,Poemas de ida y vuelta
Lisandro Alvarado,es de nacionalidad,venezolana
Carl Ferdinand Appun,es de nacionalidad,venezolana
Orlando Araujo,es de nacionalidad,venezolana
Orlando Araujo,es autor de la obra,Venezuela violenta
Orlando Araujo,es autor de la obra,Compañero de viaje y otros relatos
Orlando Araujo,es autor de la obra,Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente
Orlando Araujo,es autor de la obra,Los Viajes de Miguel Vicente Pata Caliente
Orlando Araujo,es autor de la obra,Viaje a Sandino
Edmundo Aray,es de nacionalidad,venezolana
Edmundo Aray,es autor de la obra,Antología de narradores merideños
Edmundo Aray,es autor de la obra,"Tierra roja, tierra negra"
Edmundo Aray,es autor de la obra,"Mérida, 100 años de cine, 1894-1994"
Edmundo Aray,es autor de la obra,La pena del cristofué
Edmundo Aray,es autor de la obra,Cantatas
Edmundo Aray,es autor de la obra,Nueva antología de El techo de la ballena
Daniel Arella,es de nacionalidad,venezolana
Daniel Arella,es autor de la obra,Relatos pioneros de la ciencia ficción latinamericana
Daniel Arella,es autor de la obra,AnatomÍa Del Grito
Daniel Arella,es autor de la obra,Al fondo de la transparencia
Argenis Rodríguez,es de nacionalidad,venezolana
Adolfo Aristeguieta,es de nacionalidad,venezolana
Alfredo Armas Alfonzo,es de nacionalidad,venezolana
Alfredo Armas Alfonzo,es autor de la obra,"Osarios, desiertos y otros ángeles"
Alberto Arvelo Torrealba,es de nacionalidad,venezolana
Alberto Arvelo Torrealba,es autor de la obra,Antologia poética
Alberto Arvelo Torrealba,es autor de la obra,Antología poética
Fernando Báez,es de nacionalidad,venezolana
Fernando Báez,es autor de la obra,El traductor de Cambridge
Fernando Báez,es autor de la obra,El saqueo cultural de América Latina
Fernando Báez,es autor de la obra,Los primeros libros de la humanidad
Fernando Báez,es autor de la obra,Historia universal de la destrucción de libros
Fernando Báez,es autor de la obra,El saqueo cultural de América Latina
Fernando Báez,es autor de la obra,Nueva historia universal de la destrucción de libros
Jaime Ballestas,es de nacionalidad,venezolana
José Balza,es de nacionalidad,venezolana
Luis Barrera Linares,es de nacionalidad,venezolana
Luis Barrera Linares,es autor de la obra,Desacralización y parodia : aproximación al cuento veneqolano del siglo XX
Luis Barrera Linares,es autor de la obra,Jueves de cruz y ficción
Luis Barrera Linares,es autor de la obra,Desde Alicia
Luis Barrera Linares,es autor de la obra,La duda melódica
Luis Barrera Linares,es autor de la obra,Breves y bravos
Luis Barrera Linares,es autor de la obra,Propuesta para un canon del cuento venezolano del siglo XX
Luis Barrera Linares,es autor de la obra,"Habla pública, Internet y otros enredos literarios"
Luis Barrera Linares,es autor de la obra,Memoria y cuento
Luis Barrera Linares,es autor de la obra,Cuentos en-red-@-dos
Luis Barrera Linares,es autor de la obra,La negación del rostro
Alberto Barrera Tyszka,es de nacionalidad,venezolana
Alberto Barrera Tyszka,es autor de la obra,Fin de la Tristeza / the End of Sadness
Alberto Barrera Tyszka,es autor de la obra,Mujeres Que Matan / Women Who Kill
Ígor Barreto,es de nacionalidad,venezolana
Ígor Barreto,es autor de la obra,Mezzogiorno in Venezuela
Ígor Barreto,es autor de la obra,"De la metáfora, fluida"
Ígor Barreto,es autor de la obra,Carreteras nocturnas
Ígor Barreto,es autor de la obra,"El campo, el ascensor"
Ígor Barreto,es autor de la obra,El Morrocoy
José Gregorio Bello Porras,es de nacionalidad,venezolana
Luis Enrique Belmonte,es de nacionalidad,venezolana
Luis Enrique Belmonte,es autor de la obra,Compañero paciente
Francisco Betancourt Sosa,es de nacionalidad,venezolana
Carlos Blanco García,es de nacionalidad,venezolana
Rodrigo Blanco Calderón,es de nacionalidad,venezolana
Rodrigo Blanco Calderón,es autor de la obra,Las rayas
Rodrigo Blanco Calderón,es autor de la obra,Los invencibles
Douglas Bohórquez,es de nacionalidad,venezolana
Douglas Bohórquez,es autor de la obra,Como un discípulo del lobo
Douglas Bohórquez,es autor de la obra,Del costumbrismo a la vanguardia
Nicanor Bolet Peraza,es de nacionalidad,venezolana
Rafael Bolívar Coronado,es de nacionalidad,venezolana
Rafael Bolívar Coronado,es autor de la obra,Memorias de un semibárbaro
Reinaldo Bolívar,es de nacionalidad,venezolana
Reinaldo Bolívar,es autor de la obra,Los olvidados del bicentenario
Reinaldo Bolívar,es autor de la obra,El Mercosur y la Unión Europea
Reinaldo Bolívar,es autor de la obra,El Mercosur y la Unión Europea
Edgar Borges,es de nacionalidad,venezolana
Edgar Borges,es autor de la obra,Enjambres
Edgar Borges,es autor de la obra,El olvido de Bruno
Edgar Borges,es autor de la obra,La ciclista de las soluciones imaginarias
Edgar Borges,es autor de la obra,Crónicas de bar
Edgar Borges,es autor de la obra,Quién mató al doble de Edgar Allan Poe?
Oldman Botello,es de nacionalidad,venezolana
Oldman Botello,es autor de la obra,Chaguaramas
Oldman Botello,es autor de la obra,Elorza o el viento
Oldman Botello,es autor de la obra,"Pedro Arévalo, Juan de Dios Agraz y Fernando Suárez"
Oldman Botello,es autor de la obra,San Juan de Payara
Oldman Botello,es autor de la obra,La Candelaria
Carlos Brandt,es de nacionalidad,venezolana
José Manuel Briceño Guerrero,es de nacionalidad,venezolana
José Manuel Briceño Guerrero,es autor de la obra,Tecnología Del Espíritu
Mario Briceño Iragorry,es de nacionalidad,venezolana
Federico Brito Figueroa,es de nacionalidad,venezolana
